pathway,A1,A2,A13,A14,A15,A17,A18,A19,A20,A21,A22,A23,A3,A24,A26,A28,A29,A30,A32,A37,A39,A42,A47,A4,A49,MWR072,MWR101,MWR102,MWR065,MWR091,MWR098,MWR084,MWR095,MWR063,A5,MWR080,MWR094,MWR115,MWR111,MWR092,MWR097,MWR073,MWR107,MWR112,MWR078,A6,MWR104,MWR070,MWR113,MWR082,MWR088,MWR118,MWR067,MWR108,MWR085,MWR090,A7,MWR077,MWR089,MWR068,MWR069,MWR106,MWR100,MWR081,A8,A9,A10
LEU-DEG2-PWY,1839.5231,104.0555,478.8778,173.4909,4414.7555,120.8575,746.0856,308.1279,159.8372,64502.248,177.8939,95.5877,199.9369,30.8677,128.4875,141.1019,72.972,306.5623,289.9498,0,74.9681,34.9515,16.9504,754.3246,6645.8075,16.4867,0,0,49.3891,0,41.2336,71.6092,23.8775,499.4957,147.3029,21.576,0,0,0,0,9.7008,50.4738,5.9737,6.6121,70.9027,421.6002,22.0017,4999.1932,0,23.8476,26.0522,8.7979,194.237,2024.1559,36.5073,0,288.9279,216.2682,9.898,373.7354,449.9871,481.3174,0,0,50.9092,261.3967,653.02
LPSSYN-PWY,3343.9458,156.5421,10338.9016,38.9874,25.2272,7041.5023,3720.3768,1663.004,6992.994,58.7821,892.3768,0,20.99,34.1062,61.5693,109.7379,41.4553,91.0137,136.0557,0,36.9672,23.9931,0,43.9928,0,5792.9306,259.3745,479.4396,14.996,10519.7557,7.9976,49.0334,1759.2629,695.8562,2951.2139,11812.3826,75.7552,0,1352.8289,41.669,336.0378,1794.1051,2161.4845,0,3412.4544,3.9998,2174.8572,304.8842,31.3793,2417.7985,15.9116,1956.1438,375.1774,0,14.5481,502.4452,368.2633,705.6213,241.826,604.5195,73.144,46.5416,43.6647,103.2244,2616.4276,6155.5862,104.8485
MET-SAM-PWY,196576.0618,210940.8095,145675.9379,57410.3681,71889.3761,44102.2736,107414.5641,96996.5555,113006.1344,179993.7496,161270.6195,1353.8226,181115.8328,24140.6613,3779.44,6665.8641,9900.101,12132.5978,9857.3104,20355.4207,23149.883,41788.7979,56802.72,140300.2782,128277.4007,19769.2378,24773.4946,36309.7354,7105.4566,28650.1213,23062.3044,12620.9275,56307.4102,31882.7493,149941.9354,51736.2169,15406.5007,30131.9352,24418.9495,7187.8085,15605.095,14672.9644,43716.8075,14963.9019,20852.4431,113386.6594,55240.2924,18341.5028,31225.0603,23353.6425,20135.8082,29209.4946,12329.9993,24984.9351,22886.7296,17435.8505,136146.7308,11982.5334,13061.6006,15166.0914,23125.4091,25668.9261,29058.752,10304.6001,64461.0885,133374.6045,198445.1638
METH-ACETATE-PWY,209319.9505,268945.4137,177508.7917,47769.2333,92532.2257,63100.7624,145907.5678,95309.3863,78469.1395,261188.9943,181738.5433,4390.4376,300692.9425,46929.894,5562.1886,7627.459,13396.3686,13176.9195,10521.178,32011.7221,29252.5862,31761.8019,82160.837,255002.3188,155599.5036,9435.3906,25529.6132,11953.715,14893.5715,24008.6754,39233.6358,11208.1385,5507.0806,21602.1474,117120.9353,14903.3011,10405.5983,35308.7902,32327.1137,8775.8557,11254.101,14400.0833,23954.1808,32408.5007,13386.5215,82008.6454,17382.573,4201.8251,28594.1342,14265.2516,14657.6487,12602.7614,6764.1593,38502.4917,10841.3613,20823.8218,85789.9933,15671.5809,10160.0864,9936.8937,7609.6053,25062.0552,25955.3068,6903.1364,79824.1006,176363.3416,158083.6772
METHGLYUT-PWY,0,0,14.1619,0,0,0,0,0,0,56.4647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METHYLGALLATE-DEGRADATION-PWY,38.6691,0,0,0,10.7045,0,0,0,0,326.0349,0,2.4999,0,0,0,0,0,23.0726,0,0,0,0,0,0,0,0,0,0,0,153.8722,0,0,0,0,73.0171,0,156.7466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5375,5.7564,0,0,0,124.8015,0,0,0
NAD-BIOSYNTHESIS-II,20569.2052,27295.749,24169.7129,11943.6894,7169.4771,12643.6833,13563.7647,6740.1176,17687.2407,16847.8045,14689.934,482.315,56970.0922,7247.126,589.5998,1381.8055,1148.9584,2356.2008,950.9992,8069.9367,2184.3334,3986.6163,5950.3538,53403.2749,6739.1869,6081.5356,3295.2085,2535.4382,1191.345,9099.2889,1861.8609,1200.531,15521.5052,3159.9044,37099.8377,18590.7485,1346.5408,1628.197,3389.6428,1421.2335,801.8721,3259.4755,5086.1795,2455.63,7504.5943,6583.4427,4694.7266,598.3334,1638.1497,2667.1717,2283.6874,1929.38,1125.2543,5167.408,1662.8995,4767.9505,6277.5119,1566.4598,1031.6805,3503.7349,1127.662,3644.0219,540.5696,759.2531,11560.0244,20569.6068,14705.6273
NADSYN-PWY,6.7336,12.2031,87.5181,40.465,40.4898,0,0,7.4538,16.2952,17736.7297,28.8599,371.1022,10.7256,11.9981,0,13.989,5.9977,12.9672,0,11.9979,59.9154,29.9946,45.9885,156.0258,4316.2124,17.6951,0,0,25.9703,0,9.9985,0,237.8554,595.7812,25.5252,23.9908,6.665,0,11.9981,0,163.4042,15.9967,5.9992,7.9987,84.8605,6.7573,5.9988,4810.9364,3.9998,7.9989,15.9863,3.9979,193.0188,9.9987,3.9996,0,15.6774,0,9.9932,13.9971,374.9048,0,5.9993,0,17.6356,28.7616,7.4997
NAGLIPASYN-PWY,43256.032,41140.9227,83806.379,93513.938,140790.3187,87498.493,88142.4863,154111.5148,244635.9574,95764.0202,69562.9977,387.4226,34276.9342,3128.1702,2812.6946,4699.0152,1753.7025,6716.019,3280.8787,23246.26,32253.016,62901.1586,54430.119,208122.0549,63805.9723,24304.335,20207.9844,42836.4357,42937.4603,44943.2073,20380.6369,12937.5467,38444.3852,5220.5161,89169.185,25753.6517,20206.7492,17023.2525,10465.0793,46709.5904,18444.6957,15378.3459,14323.2527,11974.0847,15146.0898,58776.1839,21337.5857,13056.1574,2556.1762,23588.8301,29047.8906,67609.5783,22359.8435,4569.4994,9236.1147,29541.1851,119843.7596,43336.9839,18813.7982,17992.3833,33699.04,14562.5434,979.5973,19509.185,107278.5855,55102.5491,56746.4542
NONMEVIPP-PWY,344986.2864,472077.6929,347713.5317,296109.37,365425.8973,269459.5929,306217.6034,292200.1559,386411.5198,302568.8256,422428.0963,4405.7732,403059.7769,86909.3735,11057.7309,25876.1598,23291.0664,43238.7195,20533.0098,93430.9364,86525.1682,165151.2456,235995.302,548757.0765,343171.0199,57107.9174,82138.5067,80373.2568,74563.8716,81333.2994,71773.5754,43063.9368,65513.8111,58537.2621,357664.4041,70504.1655,55744.44,60793.0339,75036.8541,81464.9168,58914.0673,67692.597,92635.1995,58662.4549,52575.4989,341702.2822,87630.1975,33847.8169,76637.7444,66020.0916,62371.9846,91799.9782,66119.8881,69120.97,50005.1824,70078.424,328236.0967,87298.0837,43805.1034,70846.3666,57844.1656,68976.9562,53119.4128,38382.6266,250356.6155,294675.8207,311973.2447
NONOXIPENT-PWY,523277.9412,770358.4566,532459.5322,419596.3356,505204.6414,378100.0041,471133.0975,412906.6109,559514.2314,534817.1062,641839.9759,8378.7503,703652.9606,133309.503,16644.5406,38702.8215,38821.956,65511.7577,32250.3259,141067.816,122197.6749,254636.1488,348494.0936,829719.7981,511953.0925,81366.6043,124737.8339,117303.2069,104584.9612,122221.0394,114728.3465,62562.8813,91857.5043,94883.9338,572113.2863,116826.2286,81065.011,98122.0737,116005.8981,107362.9235,84971.2424,100671.9747,135592.5591,92178.6586,81034.7548,498465.0885,123400.2562,47901.8885,118426.8402,98804.5895,87481.1996,115125.0092,89134.8296,109980.2945,73993.3609,97334.1272,518577.3708,119982.349,62841.1296,111561.7728,69650.7419,101809.3566,85722.6937,53024.3871,380435.7447,459467.1477,513740.2592
OANTIGEN-PWY,264815.2571,358339.5324,253357.1004,214280.5356,255578.6735,212449.5035,213865.4108,178146.7905,176722.0619,223729.4883,357962.5054,3244.4067,303804.1732,63696.8813,8104.1906,20518.5535,18021.8409,34332.7578,15659.9902,64604.7455,58780.6282,115690.3375,185387.3527,332903.0036,283682.8416,40152.3862,61990.9782,60164.1653,45076.1477,50740.2879,51638.5341,32888.5973,45697.278,49172.4017,249511.1211,56824.3664,41420.0942,41147.2819,59194.1213,52518.6924,45582.6941,55253.0153,71573.2636,44544.3211,38969.8145,287855.5311,62451.8376,28168.6398,61718.9723,46200.1351,41797.1287,47249.1895,49213.0674,55851.5041,39672.2128,45406.6143,228817.3255,59003.3287,34757.8301,58045.8176,36657.276,55770.5308,45453.0939,25192.1145,177441.5047,210755.3615,229126.6293
ORNARGDEG-PWY,73.5887,0,128.2956,0,13.6483,0,3832.3207,0,32.4307,65.0718,59.7645,0,0,62.0148,38.2759,101.9622,55.4982,112.2113,139.354,0,0,0,0,0,0,0,0,0,0,520.5008,0,0,14972.8117,0,1508.6569,13759.559,304.6664,0,0,0,0,0,533.0292,9.0367,0,0,0,83.2727,0,0,0,476.3011,13.4737,0,0,0,268.1911,0,12.557,13.658,54.3918,91.8763,0,177.2247,0,0,0
ORNDEG-PWY,1450.0717,0,4038.0894,0,18.1534,0,4103.6897,0,2628.3774,0,365.9006,0,0,71.4667,38.6894,90.7883,58.4736,106.8139,130.8495,0,0,0,0,0,0,0,0,0,0,4506.9569,0,0,17216.519,0,1981.9616,12722.048,261.107,0,0,0,0,0,1015.1734,7.8333,0,0,0,161.6013,0,0,0,1038.7052,0,0,0,0,247.4245,0,112.4866,264.1255,62.2191,90.2231,0,162.1075,0,0,0
P101-PWY,0,0,54.9032,0,0,0,0,0,0,2117.1741,0,0,0,0,0,0,0,0,0,0,12.4892,0,0,12.4982,0,0,0,0,0,0,0,0,0,0,14.9646,0,0,0,0,0,0,0,0,0,0,7.4462,0,17.4616,0,0,0,7.3528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P105-PWY,10773.6809,3694.1086,21710.498,164.1226,2990.7376,25046.5172,19587.1669,6240.1361,14459.6277,158249.9839,2779.8632,233.5214,676.0093,414.7496,302.9603,740.4968,332.2601,821.8799,1073.9696,0,1175.776,501.2634,738.4391,6560.5543,2705.6924,12759.0105,888.1459,1363.0846,378.778,22780.1397,134.405,157.1627,41598.8884,4250.5107,12668.2934,39642.8049,3188.338,0,4550.2913,144.3684,1525.4996,4348.1232,6180.319,131.7691,10936.1463,802.7243,5736.262,17260.1345,84.3816,6213.912,154.9637,5518.4375,1777.9727,0,201.6713,1570.7829,2349.9485,2023.3424,1110.7011,2424.1432,3660.5621,1348.4323,173.2679,1284.4376,5158.5863,14910.3268,657.0043
P108-PWY,68889.8745,91103.8121,128131.8715,149345.0714,95434.1201,139238.3282,148276.9356,231303.5006,311047.4738,116562.412,118838.4259,656.5868,68829.7438,7930.054,4664.7232,8072.4182,3562.3083,11579.7831,5682.9013,37514.0358,51179.4417,97056.1716,85566.1291,316319.8319,136406.9665,35045.3835,32451.8764,67566.8924,8527.1191,63888.4554,33872.4061,17843.6247,45577.8726,10283.498,157620.459,28884.2261,32471.4812,28671.206,19651.7913,40859.2314,28584.3649,22879.0757,25661.9424,21798.6216,24669.714,107177.9387,32658.3836,16381.0745,4953.3012,39952.9153,41573.5842,96163.1171,34065.8663,7764.9305,8939.1049,45784.9392,191995.4865,29797.6362,21802.3506,27356.2903,53329.8489,24663.736,3149.0389,26802.4169,165845.1389,93039.6399,122320.7006
P122-PWY,35107.511,77723.7041,88740.1663,58642.3786,51528.8884,34380.6339,40871.8658,16662.1538,15874.7975,12867.28,40248.8253,920.4853,20012.6375,8922.9639,1482.5861,5279.4459,1733.8148,4890.9913,4291.277,4475.8281,16561.2473,37638.9174,28581.791,76637.6556,36443.3946,12604.0142,18573.4113,20611.6725,1754.5862,7052.2953,4205.2267,3329.1932,4462.8139,4037.8,15088.8802,8554.4572,9352.2311,5913.1704,14453.2939,3112.3198,14411.1569,11926.0976,18101.842,5276.2157,3794.6177,15945.8158,14846.8732,11285.2159,6334.0724,12479.2838,4143.9046,3587.5694,10282.8537,4588.7023,7023.7573,2723.7755,26971.9026,12900.3142,8828.4335,10119.8233,5149.1198,5935.4842,2878.2137,7312.0072,17132.2077,49106.7555,48235.3764
P124-PWY,43725.8148,98624.5135,113739.6312,76894.1412,76818.2671,42934.2983,49675.8193,19282.9165,36966.8479,14723.3756,49165.7233,2006.9231,23329.5109,11983.4688,1814.586,7136.7506,2111.6022,6256.1546,5789.842,5251.0087,20341.5575,46443.6331,35253.5117,94587.4457,43708.2482,15436.7044,23016.466,24906.5147,2167.8395,8209.7297,4912.4621,4090.8808,5149.4695,4863.459,17665.5374,10267.8052,11587.8012,6987.5486,19835.742,3667.8343,19295.3913,16333.7225,24872.499,6264.2067,4455.0164,19323.5666,18977.5637,14093.484,8695.2244,15445.9385,4862.4232,4129.5686,14316.2092,5701.7357,10438.0536,3194.3332,31702.6416,18827.0209,11127.8937,13762.4082,6013.8024,7182.8844,3618.0657,9417.0554,19994.7658,61618.4168,59497.0534
P125-PWY,9618.8225,7975.3916,4787.7877,6773.7592,15812.0332,2393.3002,11832.3104,1359.8971,2562.3803,8395.8276,2051.8667,7.0583,4610.7201,3366.3318,147.0085,464.3636,196.9587,1134.5741,362.7708,272.3526,704.5147,1152.6874,824.2319,3637.386,3249.9035,307.6971,677.3996,1389.7569,1270.1374,719.6145,2169.8205,485.1233,3061.4669,364.5637,1301.0147,842.5333,306.1274,1338.18,1023.1607,134.7221,4077.0173,2879.1629,2474.5628,1850.5611,145.2853,4038.9696,1108.5406,278.0475,784.6547,3279.4539,811.6737,212.842,1971.0868,233.4763,1518.2141,25.4019,535.8688,2050.5648,559.0701,2852.6959,19.2016,834.6394,83.4576,1078.5958,224.3875,5764.2174,2005.0357
P161-PWY,343939.5575,411066.0871,310281.6557,187909.7962,234859.5556,181782.7151,219975.7164,138991.4404,160025.2899,277918.7261,355748.5944,5101.2025,391561.2624,90006.9588,9274.3174,20816.8878,22176.8477,37526.8795,16953.9712,73568.3646,56017.1648,106583.0784,192570.9613,362619.8346,348513.7354,36834.2009,46774.0173,57971.2033,34773.2475,52599.5976,53308.7094,32726.9106,38963.4396,53194.1744,199403.6597,64477.049,33572.9765,40163.4699,67842.7499,40759.5081,41725.5872,53394.9328,82082.8324,51337.395,37794.6314,342122.7781,61818.7798,25671.8076,66718.5631,38905.763,36571.7233,26021.4146,36685.3216,67555.3162,40954.0833,50862.865,237446.8219,45931.924,34206.4938,56126.1584,30351.2748,53837.3078,56482.1069,19557.0316,170393.9077,276338.8537,288202.8401
P162-PWY,3985.0884,257.0569,701.2122,1069.622,5876.8025,600.2778,221.3097,641.5141,1473.8635,7997.2307,653.3789,36.8857,579.3872,0,0,123.6728,65.0491,23.7183,82.661,0,133.1219,581.0668,187.2346,2335.6992,4159.9389,0,1671.0332,93.2902,47.2065,476.5605,1424.8889,0,496.2185,0,473.1107,1200.6879,272.6968,566.4536,31.86,237.9656,122.4346,263.7378,86.6946,182.0858,0,762.5156,30.9976,1554.3198,0,421.3799,131.3211,1254.1875,200.9612,86.2896,376.3397,683.3464,3517.6579,402.5556,39.159,0,451.3731,137.0929,0,0,470.5438,744.9361,411.94
P163-PWY,2284.0097,5783.6832,21992.0325,17094.6979,12767.7425,8676.1586,10399.5692,5552.9984,10685.5852,15075.5797,577.7868,613.6373,11271.4871,817.2632,505.2773,689.3897,551.4416,2026.1004,846.9541,423.0176,1286.2217,1084.7411,1387.2734,17015.3362,15291.8041,763.0095,2510.948,332.4525,247.973,2013.6502,144.7085,783.4135,5899.9098,417.2283,4805.9553,1301.6369,1990.0624,1683.9252,1609.7677,1907.4936,3620.7743,1531.6671,1568.1946,236.9627,1572.6531,2093.8922,10122.9596,763.4606,166.2615,2394.5245,1742.2392,2013.5825,1069.4521,1060.2886,1816.2079,901.3898,8465.9055,10087.2279,915.6333,2079.893,1089.1446,1678.1494,65.648,706.5412,13833.633,19291.9468,32036.636
P164-PWY,110234.3813,238241.1111,156120.987,65841.561,84713.9897,73272.4644,86921.6094,57226.3051,109154.0103,179888.0535,106456.4976,5374.0201,339668.5957,34972.7938,4132.984,8954.2499,8775.8156,12720.821,7378.2049,43996.3303,24957.9794,33370.7881,58089.0671,244686.7515,71475.6351,14864.8398,29253.7441,16110.86,11315.405,26740.6369,31766.4653,11968.3651,16513.9791,18384.8039,124658.7054,19062.3112,11968.581,12675.8907,32695.8728,12935.1725,10926.2876,18783.2778,24910.7868,16924.2667,19375.212,43074.5733,21164.7399,7713.3162,21759.1948,18839.4048,12237.6902,16131.1496,10612.0399,35698.6894,9745.11,22502.6143,63912.8692,19451.8131,10788.3728,15799.39,18582.242,15862.9983,33817.7401,7409.3039,69470.2171,154086.7704,138732.5849
P184-PWY,0,0,0,0,0,0,0,0,0,31.3604,0,2.5454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P221-PWY,14969.1972,50733.5489,54967.308,11650.7952,30302.0242,6359.0433,40249.6394,7171.9317,38177.2797,73690.9451,23330.2109,929.4381,50198.5711,20590.1092,847.1351,1693.0309,6193.7229,3572.3627,2609.5895,9436.2415,4467.5856,7797.0029,12135.0615,31244.1236,343.7945,4514.9075,4078.9134,1962.5488,2638.8317,5151.1675,2977.766,1689.3835,3301.2373,9064.3268,79437.5158,6222.1014,4371.3425,9998.4835,5434.177,4860.3355,2160.4795,2199.1212,10518.514,1649.5732,10627.7126,19390.2262,6980.0848,860.1097,4382.37,8712.5481,1337.2042,981.6925,1125.3835,4707.3257,1715.4373,15759.2654,45186.1512,2915.8993,1977.4687,6032.1522,720.4169,6319.0648,3719.556,2192.0769,33835.8126,50766.5615,51763.709
P23-PWY,56092.7103,33420.2648,59767.346,21282.6535,76656.2043,36048.4705,44774.4764,18743.2705,16871.8173,149809.0827,63059.044,754.5757,2856.3805,3574.4307,976.8754,2744.886,1933.745,5520.0896,3163.1234,9965.9802,11526.6254,14381.0734,12758.5039,48158.0116,17190.2693,13957.0439,17986.5532,12722.4334,2445.5284,21202.3294,10961.7447,1093.1944,34617.9882,7037.3775,34101.2727,34932.9712,2527.2831,4268.3869,10755.5156,2055.5231,8718.4468,11340.8714,11059.3583,8276.992,7159.9457,14968.7123,11414.5398,14719.1769,2372.4104,9361.4757,4716.3796,4860.8376,5529.407,3444.5025,8116.5205,8935.2708,10915.371,5263.9235,8546.3336,9602.2095,8122.0611,2956.0573,1262.6813,2686.0838,27671.5269,37130.6994,19689.0564
P261-PWY,26.951,557.557,6.9981,221.0569,548.8637,1578.4146,338.8625,35.9122,9.9805,11578.7433,19.9617,15.9313,158.2508,0,23.3713,28.4496,13.6535,70.205,25.43,0,96.8982,93.6872,130.5784,558.319,3230.6584,93.3873,0,336.0078,57.6218,213.9176,0,74.7158,90.5019,0,25.7355,0,134.0373,0,422.8873,22.6655,133.877,0,121.8874,7.978,34.9283,5.9966,367.0829,199.7267,0,358.7414,0,0,209.2441,8.9724,97.4022,0,7.9729,196.4662,31.2219,132.9361,0,107.0362,0,2.9925,20.8797,12.9914,0
P281-PWY,85.9797,15.0267,66.1956,3.96,31.3873,14.4038,449.9464,55.3342,157.0594,11928.237,65.3658,11.3598,13.3392,0,0,10.3103,0,22.3053,11.13,0,13.244,0,0,140.2914,363.6835,0,25.0075,5.2718,0,0,13.92,0,0.4945,0,40.0849,3875.1133,18.9617,0,0,0,3.3304,0,591.1636,7.8916,0,31.0641,10.6017,22.9901,0,10.5545,5.3137,0,46.0971,0,12.2517,0,8.8181,0,0,37.1067,54.6496,33.6439,0,0,3.9698,103.3674,508.6743
P341-PWY,4559.6095,4467.2596,5319.6081,564.4265,931.2201,12872.0312,1187.7347,2164.5,2059.6728,4512.007,4562.2665,128.5379,13717.9425,471.1462,356.8512,243.7937,201.6864,385.6863,97.2805,1300.785,269.5438,476.763,511.9131,3409.6544,9111.5472,492.7343,2926.6831,157.3537,286.9253,684.8308,2913.3594,154.7069,760.4968,737.9422,5549.5602,4135.3193,579.5007,750.6888,296.8857,49.9838,187.1999,232.0867,466.2935,371.3264,448.1329,3921.7963,134.8966,112.303,42.4869,74.9596,336.5987,1430.7033,169.7567,636.9532,269.2038,602.3601,734.2321,22.4968,79.9303,129.8789,87.4295,465.8882,485.3049,122.3037,1436.1452,9393.9018,5439.9886
P381-PWY,148.2177,0,446.1864,36.6292,0,440.4145,0,94.352,0,24447.6982,73.7897,64.3184,168.1484,0,0,0,0,0,118.3261,0,115.8756,0,0,440.6589,240.2396,0,0,0,0,0,0,0,0,0,72.3496,0,0,0,0,0,0,0,0,0,0,171.1419,0,0,0,0,0,0,95.9034,0,0,0,54.1659,0,0,0,0,0,0,0,0,0,0
P4-PWY,224930.3203,207094.6938,201391.4272,106367.4518,122679.535,91121.2182,146118.018,134122.8756,115322.0976,216159.7888,170564.8317,2077.3821,166996.026,17511.653,4859.6785,9717.3251,10944.9257,18672.0091,10679.2236,31282.8187,33764.2332,42608.0463,60125.1957,237689.3877,85838.3613,24383.0547,38082.8978,25148.4453,12320.1354,32730.5021,34296.8542,19655.5139,41110.683,26418.175,174601.6258,43725.1784,23560.7559,26376.2666,33476.1431,15359.8047,24013.0276,25103.188,50129.1407,18905.8095,21199.7052,106792.6241,61322.1764,20328.3706,42025.0358,28800.5735,28689.872,26294.1954,24277.3125,35128.7543,23890.4023,15281.5304,127144.9665,24508.6631,13214.6615,28855.7257,19074.7425,20274.092,34107.9583,15410.4052,76773.9112,173756.95,157869.8346
P42-PWY,136180.8907,175531.3833,260898.0861,247364.9471,260726.0231,252470.5442,256406.438,349171.2108,457433.6257,258695.2881,224535.133,1323.9834,146749.8942,13634.9368,8558.3815,15345.9372,7482.9882,21074.9767,10476.0452,72742.3359,83639.6175,165884.8159,163390.6666,518773.9555,192106.8296,61248.172,56715.2787,101830.3706,67348.6503,105228.6658,62043.3922,32560.5089,79797.8531,18237.3036,256402.7234,55105.9006,55307.3492,52331.4825,38572.8889,89399.3089,51125.3201,46867.3331,48313.7382,38843.1291,44648.0892,160277.6217,61132.2675,30368.7003,7365.1332,65775.9339,67435.8488,124002.5571,51739.6252,19560.8298,20831.0531,65391.4307,333109.3993,76649.5588,42152.3477,46133.3379,71249.6108,46952.3766,4902.1322,39946.1302,279993.874,185944.9973,197533.3032
P441-PWY,148292.8511,188703.7299,232410.958,72579.7086,122009.0645,59328.3574,186452.2974,164184.9903,27220.807,205072.155,189985.3915,1394.4426,186495.7717,21454.6082,6426.0488,10660.6386,11110.2668,15662.7327,10788.8636,46151.174,26094.0438,56111.109,107408.4675,286244.1592,142843.6767,19455.1015,34693.7879,23658.9515,11647.9442,47384.8114,49314.0357,13471.3935,38683.0245,27301.8815,186419.6197,44101.3845,10109.0438,36946.4684,36595.4796,21854.7289,14489.4552,19338.2685,28204.6955,27015.3998,25950.1427,91569.8229,31802.7379,15327.7871,19122.8324,28899.2815,20908.6714,39984.5292,18242.0857,20147.4623,16159.8865,32572.062,167578.3428,13715.5493,21243.8459,22449.1363,30086.7078,11611.4183,9965.4137,11858.3383,127698.0561,182022.6261,143526.3151
P461-PWY,60595.4185,117370.0249,101100.2798,39923.9765,49904.637,15601.2136,112979.4669,48988.4571,155172.8434,140280.8546,96627.6868,2208.3493,116682.5621,9449.1184,3055.2052,4652.9827,13056.6642,5680.4777,7534.1766,16248.9458,10985.3354,22929.6588,47891.7978,116897.1306,1914.1151,14659.892,15520.1499,6973.1435,7219.8274,25710.3944,16994.9509,2809.9895,23692.9294,23944.0503,179180.1575,24230.4639,4982.5092,35188.1294,12237.7814,5281.5062,7713.7283,6502.4207,18458.3782,10500.2184,18233.6793,76496.6616,12754.7734,5152.481,8696.2469,36657.4244,4900.0155,6448.8048,3333.1303,10627.7768,4716.1585,9836.1614,177315.2781,4538.2655,11886.9108,12614.6814,6750.5885,17414.9992,16199.1287,7153.5289,89875.581,65091.6956,201259.0312
P562-PWY,21973.984,73935.5686,44711.9033,10282.7116,10662.4205,3438.1324,37412.8909,19546.0005,40613.4199,102695.8991,31003.8467,1745.2121,88513.0544,4637.6833,1107.355,1629.3984,4202.9339,1941.1495,2444.4424,5748.2935,3303.688,7707.8352,15925.5923,39942.0129,10545.9428,2215.537,3180.7537,2097.4103,1765.1212,6890.9287,8575.3619,1195.3464,10826.7271,6489.7493,41481.5475,12759.5418,1808.5094,10246.4237,4622.1694,1663.3831,1935.2052,1719.3157,4805.4331,3497.3051,4223.4877,18263.4891,4031.9235,512.7695,3294.8012,8453.7322,1825.067,1130.7193,1099.8467,5321.6972,1095.1189,3361.0701,47957.0249,1369.4145,3235.5521,3484.2021,566.163,3752.3156,6850.9751,1990.3349,26427.3551,30762.6806,51947.5765
PANTO-PWY,132645.0952,220469.6722,176487.1423,167390.3346,209685.7841,159266.8561,193795.6313,214086.2267,303197.4334,171845.8454,219307.4155,1869.4774,177194.1404,38060.5292,5613.0465,13341.1627,10794.8325,21183.3723,11038.0356,57288.6933,58729.1897,114049.2373,122244.9049,348442.8303,103434.7279,44365.9669,48830.8999,54111.8872,50658.468,61154.1465,42348.3775,23792.6685,49807.4333,24578.9074,246079.0566,45021.3603,34960.0453,40422.7445,43341.3351,54654.4064,34805.1372,42151.3451,42239.5005,28979.7752,32939.9522,120324.1282,41550.4822,22700.1579,40721.3659,43420.7874,40757.5617,79865.8261,37771.1418,35103.7905,25776.3956,49229.3157,184517.2599,65907.2969,24549.6319,36504.5608,43486.2135,35790.5732,24927.392,24736.8367,169344.6103,155403.1879,162471.2642
PANTOSYN-PWY,164663.2925,260253.8498,203325.9709,195966.1553,248724.0045,184033.0346,217341.4068,225853.0364,322363.1002,188322.1651,262448.1418,2107.0673,207926.0413,45927.4467,6549.1662,15685.4217,12844.1346,25377.3931,12626.6885,64744.4064,64170.8541,123462.0116,144069.3152,384014.5569,132880.3796,46042.7644,54039.6295,61674.44,58402.0822,64712.7651,47381.0703,28204.6484,52861.8884,29859.2824,276405.8262,49524.25,39263.5771,44458.3598,49391.3873,61435.1699,40355.0961,47788.3094,50977.9118,34142.101,36773.0134,153904.2795,50427.2997,25273.2687,47579.6386,48842.6099,45211.0047,79892.766,44742.6818,41864.7883,31660.5632,53090.8319,216078.4616,71689.0252,29615.4027,44764.0314,46337.0903,42312.5938,30047.5594,28468.3386,184662.9596,177613.1484,190897.5321
PENTOSE-P-PWY,124274.2829,201320.0303,181381.1934,131555.7198,82780.0149,125278.5732,155748.6832,215190.1671,75081.1696,265885.2296,166967.7294,2405.7084,221464.5284,19394.5809,5381.3788,10017.2481,8578.3158,14513.753,8143.0635,43820.5403,49246.154,97424.2203,100257.057,271579.9585,166631.6976,37003.6667,58391.3721,68147.7909,10394.9914,66643.8759,40969.3129,14869.0562,50868.9541,22884.3776,176551.0233,41310.9236,30704.6175,37796.9491,25592.279,33275.6579,29251.8712,24780.7838,33420.4263,31450.324,30635.1583,105235.5217,39051.2169,22564.7824,13319.7359,39397.6251,37865.9374,70618.1505,20682.7099,18628.7952,10580.0764,31475.7517,218533.1032,22239.0719,24201.6222,22855.7186,40051.9091,30076.393,11530.4896,18303.5708,172215.3946,130631.2715,169906.3825
