asv,A1,A2,A13,A14,A15,A17,A18,A19,A20,A21,A22,A23,A3,A24,A26,A28,A29,A30,A32,A37,A39,A42,A47,A4,A49,MWR072,MWR101,MWR102,MWR065,MWR091,MWR098,MWR084,MWR095,MWR063,A5,MWR080,MWR094,MWR115,MWR111,MWR092,MWR097,MWR073,MWR107,MWR112,MWR078,A6,MWR104,MWR070,MWR113,MWR082,MWR088,MWR118,MWR067,MWR108,MWR085,MWR090,A7,MWR077,MWR089,MWR068,MWR069,MWR106,MWR100,MWR081,A8,A9,A10
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.acidifaciens,0,0,0,0,0,0,0,0,0,0,0,0,451,0,0,0,0,0,0,0,12,0,28,0,13321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.caccae,1336,2585,6094,9907,223,24989,975,53170,95,43,6306,0,0,223,315,666,40,1057,111,0,558,0,3092,40,11041,2985,4767,0,219,0,0,0,12537,150,40,0,1444,0,0,0,210,1384,3927,5537,396,62,273,122,29,790,1212,0,0,18,0,3139,7422,858,158,1955,2598,0,206,144,1078,4370,142
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.clarus,0,0,218,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.coprocola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,0,0,0,0,0,0,0,767,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.coprophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.cutis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.eggerthii,39,14,712,0,1392,0,68,194,0,0,0,0,0,19,10,5,0,19,11,0,0,0,0,8,0,0,0,0,7,11,10,0,40,0,0,9,0,0,10,0,0,0,6,0,0,0,0,0,4,7,0,18401,253,9,5,0,28,128,1672,0,0,8,0,0,0,665,17
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.faecis,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,56,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.finegoldii,0,0,551,0,0,0,0,0,0,0,0,0,0,0,7,0,101,11,13,702,0,0,0,0,0,0,182,0,6,411,0,0,0,0,0,0,0,0,0,465,21,0,0,0,0,0,77,92,0,39,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,25
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.fragilis,6060,3039,1362,0,29,0,0,43,71574,1463,0,0,0,0,50,38,21,87,90,0,0,0,50,10606,0,684,2014,167,171,116,1456,0,0,0,2866,5797,0,255,0,0,0,388,0,296,4,2796,0,0,6,0,0,1353,0,0,0,4576,0,0,205,0,0,2320,0,0,0,21,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.intestinalis,0,0,0,0,0,95,152,0,0,0,0,0,3515,42,15,0,35,44,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2741,0,0,0,0,0,0,0,0,0,62,0,173,0,0,0,0,0,0,0,59,0,0,0,0,41,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.massiliensis,1080,0,607,29007,21,7,195,8166,17,7,16,0,38,0,13,1372,0,185,34,0,0,0,7627,11,0,0,0,0,0,0,0,42,0,0,13,0,0,0,142,1816,0,0,289,0,0,4,369,617,0,0,488,0,0,262,29,0,8,0,0,0,0,0,0,1825,5301,191,89
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.NA,20251,14051,17516,43675,7437,22925,29830,57896,145547,21418,27374,4,15493,2166,1985,1673,1381,4147,1014,4095,9170,45000,43383,93899,14454,8739,8311,23253,2073,19783,9186,2043,27687,3984,126445,12489,16317,20639,3999,10241,6528,11888,5557,5738,8247,37644,3918,4817,637,7350,15338,19843,4985,857,797,5099,102307,3400,9432,7101,6772,7719,139,6816,89961,10411,85904
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.nordii,0,0,0,0,0,0,0,267,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.ovatus,167,0,99,0,0,0,0,3078,41,482,552,0,139,0,0,0,0,156,12,0,0,0,0,0,0,2608,382,215,0,0,8478,48,66,354,12558,0,14821,0,0,0,182,594,0,0,18265,0,896,0,26,0,244,0,0,0,0,845,0,0,1790,0,0,630,0,63,0,0,1945
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.plebeius,0,0,33,0,42,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,5,0,0,848,0,0,6218,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.salyersiae,0,0,0,0,0,5362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0,789,0,6,0,0,0,0,0,0,0,0,130,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.stercoris,604,33,18980,82,61,84,1511,114279,67,102805,34,33,0,191,2474,0,56,71,99,0,0,0,0,90,0,0,9272,265,0,562,0,154,0,2006,3260,0,0,0,0,619,0,0,0,0,0,100,0,4816,183,645,877,19,0,44,131,1389,26398,0,0,7393,84,4654,0,373,76,6783,78
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.thetaiotaomicron,93,3829,2147,3662,543,2271,2659,828,0,1202,11830,7,342,9,143,15,8,30,70,217,1297,3479,1066,6583,0,0,598,497,34,348,784,252,187,194,0,186,841,1174,304,475,727,0,798,2801,168,2551,2093,109,35,266,2071,84,253,117,26,949,6624,507,126,908,252,1030,0,50,0,907,9421
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.uniformis,2585,32156,6865,26913,2720,38556,18266,37371,124,8716,24587,0,1818,679,46,367,35,733,978,8271,3265,3632,9473,26157,10507,1630,1033,15826,2536,30383,6233,2197,1538,1165,52669,1578,9469,2546,10715,2062,6162,26,5718,10992,22,13511,5063,1344,587,1439,5892,7690,944,52,127,6972,45178,684,2373,4095,2236,12592,15,118,48660,6371,30935
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.vulgatus,1470,7417,10291,46,7969,109,3619,25144,149,557,5615,0,0,152,124,144,0,42,116,810,9790,45,6005,190,13689,6990,5056,74,1194,287,52,343,10908,622,232,80,50,1724,1000,3793,702,0,1006,0,767,189,1306,804,125,7215,131,4536,0,51,472,3767,0,927,901,371,5379,868,497,496,13674,7004,146
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Barnesiellaceae.Barnesiella.intestinihominis,9084,0,8541,0,0,0,1658,0,0,0,0,0,0,3,0,20,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,427,0,0,0,0,1827,0,0,148,0,0,0,677,0,1420,0,0,0,0,84,0,278,0,0,0,0,0,0,5982,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Barnesiellaceae.Barnesiella.NA,148,66,12122,4479,112,40,23177,12054,95,137,10,0,4062,101,100,39,96,1168,275,0,7036,0,4189,16722,1170,0,2859,0,0,449,7,0,5,678,6,0,1926,1783,0,0,3042,0,0,0,0,4,77,0,0,0,1268,0,2003,101,38,0,21,63,0,0,27,0,384,2218,14,14680,102
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Barnesiellaceae.Coprobacter.NA,88,0,631,0,0,0,367,0,0,0,0,0,0,0,3,52,0,28,0,0,29,0,13,0,0,0,0,25,0,66,0,0,7,0,0,0,20,0,0,0,0,0,63,0,0,0,7,0,0,0,0,7,72,0,0,0,0,0,169,269,0,0,0,9,0,333,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Barnesiellaceae.Coprobacter.secundus,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,17,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Dysgonomonadaceae.Dysgonomonas.oryzarvi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Marinifilaceae.Butyricimonas.NA,0,0,116,0,294,663,74,0,0,5,0,0,29,0,11,77,7,37,33,0,111,0,0,0,432,0,116,0,0,90,0,24,1000,0,0,88,0,0,0,0,626,0,227,0,52,0,475,37,0,309,258,0,0,12,18,0,0,0,0,35,2,42,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Marinifilaceae.Butyricimonas.virosa,18,76,4938,58,46,0,694,0,0,0,0,0,54,0,0,2,6,242,12,0,0,0,0,0,0,0,0,0,0,10,0,165,0,0,0,0,0,262,0,0,55,0,0,0,0,0,0,0,0,0,0,93,0,37,194,0,42,0,49,0,0,0,0,0,2189,2313,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Marinifilaceae.Odoribacter.NA,0,0,192,1210,176,0,0,5,0,78,0,0,0,13,19,7,6,24,5,0,0,0,47,1575,301,0,0,0,0,0,0,0,2,0,0,0,0,0,0,70,0,0,36,0,0,3,0,50,0,0,0,0,137,0,0,0,0,0,0,902,0,0,0,0,0,0,110
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Marinifilaceae.Odoribacter.splanchnicus,360,72,231,3567,434,220,1117,2350,43,7,2,0,420,58,9,20,54,268,20,0,305,229,308,2403,0,141,166,73,0,92,91,15,538,13,965,0,0,138,0,480,359,83,91,0,12,0,432,120,27,113,496,69,303,18,9,0,0,121,21,213,32,73,0,160,501,475,815
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Marinifilaceae.Sanguibacteroides.justesenii,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Marinifilaceae.Sanguibacteroides.NA,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,23,0,0,0,31,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Muribaculaceae.Muribaculum.intestinale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Muribaculaceae.NA.NA,0,0,0,0,6644,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2050,18,139,9,19837,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,24,19,0,0,0,12,0,364,0,1492,0,758,0,2418,0,0,0,0,8,59,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.NA.NA.NA,101,2,16,113,1709,70,447,78,60,29,44,0,0,0,9,0,23,120,31,4,2,51,34,95,10,2,0,4,8,7,0,0,33,0,13,3,0,33,41,2,0,12,0,10,9,66,1898,0,0,0,0,0,0,0,0,10,23,3820,0,15,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Porphyromonadaceae.Porphyromonas.bennonis,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Porphyromonadaceae.Porphyromonas.NA,0,0,0,12,0,0,0,0,0,52,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,8,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Porphyromonadaceae.Porphyromonas.somerae,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Alloprevotella.NA,0,0,0,2,954,0,0,0,0,0,0,0,0,0,9,4,14,19,38,0,0,0,0,0,0,0,0,0,0,0,0,936,0,0,0,0,0,0,0,2115,95,0,0,0,0,0,553,0,0,0,0,0,129,0,47,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.NA.NA,1309,4,32,3,4068,0,0,901,0,0,0,0,0,0,2,3,7,7,25,66,0,0,0,0,0,0,4,0,30,0,0,444,6,0,0,0,0,2,0,10,0,0,0,0,0,0,115,0,0,0,223,0,2,0,1285,0,0,3554,0,0,0,0,0,0,211,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Paraprevotella.NA,4610,0,1583,0,66,0,50,3885,0,0,0,0,0,0,4,6,11,18,9,0,0,0,0,0,0,0,0,0,0,0,0,1388,0,0,0,0,0,0,3,0,332,0,759,3,0,0,355,0,0,0,815,3990,0,0,154,1243,78,0,0,15,784,0,0,0,0,1212,36
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Paraprevotella.xylaniphila,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.amnii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.bivia,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.colorans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.copri,0,0,1055,0,24959,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,100,0,0,0,0,10,16,0,15698,56,0,62,0,0,0,84,0,0,0,0,0,282,0,183,0,0,0,0,0,0,0,0,212,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.corporis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.disiens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.NA,551,6,2753,25,58530,0,1010,10,11,0,7,55,0,330,15,12,16,35,36,0,75,3,3245,43,163,7,43,31,35116,0,10,923,2204,0,4,0,0,0,0,6408,850,3,152,7,4,0,720,0,0,6,4086,13,2133,0,3026,6,0,21145,4604,260,483,9,0,9360,139,980,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.oris,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.timonensis,0,2,0,15,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,15,0,0,0,0,0,56,0,0,0,0,0,13,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotellaceae_NK3B31_group.NA,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,264,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotellaceae_UCG-001.NA,0,0,0,0,8069,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,0,51,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotellaceae_UCG-003.NA,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotellaceae_UCG-004.NA,0,0,0,2,2653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.finegoldii,41,30,171,318,0,7,5571,0,77,0,15,0,157,46,0,0,0,38,18,0,0,0,263,2124,0,0,34,0,0,20,0,28,8,7,0,0,0,14,0,84,0,28,0,0,31,39,44,14,0,25,55,63,0,29,9,38,0,0,0,23,17,1008,0,206,0,0,706
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.ihumii,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,193,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.indistinctus,0,0,1669,392,0,5,265,443,38,0,0,0,0,226,4,0,0,9,0,0,103,0,47,2463,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,59,6,57,109,0,22,0,112,11,0,178,243,0,0,0,0,50,0,0,18,134,0,201,0,9,501,853,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.inops,15,0,39,25,40,0,291,0,30,0,0,0,81,0,0,0,4,21,51,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,43,0,7
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.massiliensis,0,0,28,0,31,0,0,363,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,2185,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.NA,837,3909,1782,2392,841,23692,16069,3630,11,5250,625,27,189,107,330,332,43,191,40,914,769,1092,980,9612,1636,324,199,203,104,145,1757,72,139,94,305,78,3207,137,0,383,1171,451,106,235,80,5915,408,842,0,548,1106,71,7173,53,135,0,67,102,11,1889,0,0,63,1452,3438,3436,123
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.obesi,5,0,10,1318,52,0,0,432,0,0,0,0,0,0,0,18,0,19,0,0,0,467,208,0,0,21,0,21,0,18,0,0,17,0,0,0,0,0,0,17,203,59,0,0,0,0,260,0,0,114,0,0,0,0,30,0,0,0,28,0,0,0,0,24,0,168,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.putredinis,1388,1442,4518,17498,0,13,3442,8340,22,25,0,0,5552,438,19,240,21,393,36,802,2101,1769,1424,46358,0,29,499,0,0,379,0,441,42,232,13,0,0,1233,1030,1312,397,574,141,592,0,6509,22,439,522,594,1635,1106,978,98,34,0,47,17,65,286,0,0,0,1372,3323,3814,9
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.senegalensis,0,0,24,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,114,0,0,0,15,0,0,153,0,0,271,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.shahii,0,0,162,1537,0,0,0,0,0,9,0,0,0,0,0,27,0,0,13,0,269,0,420,0,21,0,0,45,83,101,0,37,0,0,317,0,0,38,361,181,434,0,0,24,0,0,456,0,0,123,0,0,80,0,0,0,0,93,94,0,0,0,0,0,0,0,335
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.timonensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.NA.NA,0,0,0,39,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Rikenellaceae_RC9_gut_group.NA,11,26,202,53,1520,0,417,0,55,0,0,0,0,12,76,91,41,262,388,0,0,0,0,0,0,0,0,0,0,0,0,1797,5,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,92,3938,0,3955,0,0,0,0,11,111,309
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.NA.NA,211,0,189,0,592,13,0,316,0,0,0,0,0,0,0,111,0,0,50,17,0,0,68,0,834,1139,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3857,88,0,0,0,0,0,0,0,24,262,0,0,0,254,0,0,0,26,101,0
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides.distasonis,1804,0,8336,6209,2986,3715,6330,3076,28,27,7,0,4184,260,82,233,92,401,67,0,1123,0,734,2183,592,290,2172,7066,0,1012,2140,1031,1651,246,8639,9,13,407,431,5581,7986,4994,0,8,0,0,1009,399,27,6122,2603,7135,983,336,68,2380,3295,1304,682,69,1605,1263,4,378,5095,6324,118
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides.gordonii,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
