pathway,SRR14660150,SRR14660161,SRR14660172,SRR14660183,SRR14660188,SRR14660189,SRR14660190,SRR14660191,SRR14660192,SRR14660193,SRR14660194,SRR14660195,SRR14660197,SRR14660198,SRR14660199,SRR14660200,SRR14660201,SRR14660202,SRR14660203,SRR14660204,SRR14660205,SRR14660206,SRR14660207,SRR14660208,SRR14660209,SRR14660210,SRR14660211,SRR14660212,SRR14660213,SRR14660214,SRR14660215,SRR14660217,SRR14660218,SRR14660219,SRR14660220,SRR14660221,SRR14660222,SRR14660223,SRR14660224,SRR14660226,SRR14660227,SRR14660228,SRR14660229,SRR14660230,SRR14660231,SRR14660232,SRR14660233,SRR14660234,SRR14660235,SRR14660238,SRR14660249,SRR14660250,SRR14660251
PANTO-PWY,23552.6477,30867.3801,27874.798,24682.8891,31751.6102,34153.9918,40407.4825,28780.9852,30954.1349,29525.0786,23298.5759,29877.2262,26746.3454,16186.032,21690.2801,31603.1934,28666.9888,24607.7805,41131.2139,37444.7865,33714.134,29926.621,29401.7781,24170.4756,29563.2339,32454.7742,22715.2405,28574.1404,7998.2127,27084.2191,20644.2527,22379.6376,20275.6106,24364.1871,21811.2421,23358.3345,17137.0819,33909.9319,21765.0291,26058.3973,28659.467,26295.4235,30173.4757,37158.8332,34884.2283,31147.9798,17750.2239,29716.154,25717.6865,30077.264,28599.5219,29028.5069,25953.1041
PANTOSYN-PWY,26032.842,35064.3672,31038.9593,27150.3158,35797.7256,38548.2138,45822.2492,32848.3325,34797.5989,32362.3305,25011.1409,32458.769,30634.722,18259.2844,24582.7964,34898.6959,30898.9903,28643.7254,43181.6076,39151.2749,38970.9762,32537.8877,33037.1389,27142.9061,33225.3025,36643.0923,26276.6964,32045.0474,9282.2525,30482.2658,24008.2112,25180.5016,22730.7306,27981.3782,26549.5992,26582.4169,20522.583,37707.2603,25527.5455,28344.8693,33823.877,28477.7163,33475.4593,39790.6929,36316.3114,35770.8309,18455.7639,33647.4665,29682.5159,34419.3306,30854.3991,32220.3341,29032.6878
PENTOSE-P-PWY,19290.285,25113.0028,12054.9859,19664.7344,18340.628,17822.7413,24038.8566,18699.8295,22687.8451,18571.8926,21018.0307,32557.0375,16704.6099,15201.9713,16630.35,28064.3405,25226.9031,10439.6047,25555.7993,32252.4577,14663.3239,21208.1222,20941.9445,15840.3245,21764.0918,26085.4117,12304.5188,19047.0675,5236.7035,14358.313,12582.7198,24257.1539,16056.3118,18184.829,24594.4627,18141.115,12705.6959,28195.6381,11571.473,24574.3313,14820.3626,19491.5248,26378.438,30457.5527,20031.2661,21350.5873,17541.3941,15266.1947,18490.4116,19421.0778,17011.0607,25659.9428,18300.871
PEPTIDOGLYCANSYN-PWY,37566.512,51808.3201,43706.0474,40871.3294,50359.6779,58198.1954,65959.5205,45565.2987,48459.7692,42512.8885,36082.9146,49200.2911,47001.0446,25750.3785,37514.8788,48378.6914,41275.157,40004.5014,53664.3763,47519.2612,54263.1741,43888.2014,49234.551,41672.2967,46048.5562,49881.3263,39532.1626,44292.3877,15305.83,45293.9906,37623.632,39427.6547,32546.7136,47288.8923,41939.034,38606.9933,40471.7615,49404.38,38755.8142,42728.0014,52792.5851,39801.0071,46541.2545,51462.8467,41734.9864,58015.26,32716.237,51249.8845,45065.2374,50840.8978,43210.4313,45117.4552,42836.2694
PHOSLIPSYN-PWY,41212.8489,55301.996,48566.3079,46378.9367,51518.8268,61483.2131,68987.7175,51194.9644,49001.0272,44547.8293,38687.4419,51436.3352,50418.3116,26807.7309,40348.0216,51526.8544,44361.2358,42326.0143,55075.5111,47462.0482,57399.1205,45748.1708,51435.9776,45837.147,49643.7392,51904.5775,43010.3622,46763.5356,16217.1538,48063.2876,41793.4111,41473.4589,32485.8224,53859.1042,46386.8005,38550.415,44010.6989,50287.2025,43100.9225,44575.3685,57218.4489,43815.222,51272.1018,54142.7245,47106.0898,63978.5827,35039.1432,56388.5141,51902.5376,56771.6569,49341.0304,47690.748,48131.3752
POLYAMINSYN3-PWY,954.3255,4266.278,508.5842,421.9939,10143.336,5155.9725,5661.497,2563.2246,4597.8138,4769.2791,4974.798,5698.7655,2279.9728,1679.3535,5471.8666,5083.1753,5538.9101,4728.4312,4993.2596,5638.1062,5020.9068,4435.3954,3450.382,4000.8087,4282.1353,2966.1796,5660.5225,5170.9085,479.5039,3504.4742,4496.6234,5997.7968,4087.7695,2454.8447,6575.4726,2586.6622,1677.8513,4045.1777,5666.0014,3340.6244,4333.8012,1594.8959,4871.9823,7291.659,2012.8013,2924.4661,4215.7756,2302.041,4753.877,4487.6742,2603.7047,4263.3887,2909.0128
POLYAMSYN-PWY,929.7318,4393.7641,1675.4865,398.0797,11623.4115,5421.2689,5673.5166,3418.7799,5239.9685,4952.5041,5129.8006,6050.0845,2318.6194,1765.1439,5574.2242,4988.5864,5519.2864,4760.4538,4837.7489,9926.7188,5059.2975,4503.7165,4654.3991,4063.7624,4232.4795,5209.6088,5734.7064,5144.232,455.369,3726.4494,7038.2259,5978.7124,6349.2682,3541.9394,7624.4174,2577.013,1643.6454,4076.3851,6002.0612,3363.7119,4438.883,1521.5964,4806.7323,7417.4817,3442.2525,3523.3976,4302.9547,2235.8627,4794.428,4349.9166,2556.141,4905.4772,2805.4364
POLYISOPRENSYN-PWY,18266.6453,29997.833,23364.3582,12700.2942,22209.9096,20403.8824,36206.5572,22426.9114,31348.6391,28162.531,21837.6289,28421.5178,24179.778,16970.0707,22923.7869,29327.2284,26276.9068,24906.5908,36474.4596,37913.1587,35814.6558,27441.9978,25984.24,21717.3478,26066.0972,32546.3962,19931.3115,24529.9617,8224.6984,27283.3044,17334.2466,21267.5742,24135.4594,14397.1889,21257.13,25588.4671,11626.9782,34186.1034,15138.8287,26431.7935,21328.9605,20175.7855,27531.1992,31829.7124,25039.2747,21755.4594,14792.2206,22513.3833,20253.7207,21742.7899,19010.8594,29632.0974,16416.2356
PPGPPMET-PWY,406.8014,6.9243,5.3745,5.4996,748.4569,22.8191,7.0745,1.675,0,369.3904,2430.4761,2430.5994,1.075,12.4961,36.1501,127.0442,47.2192,1036.9555,182.7051,6185.0189,33.1634,0,0,1.25,7.2493,199.9717,4.9996,77.4959,92.0094,3.9997,17.0946,97.3441,387.0581,8.499,166.0518,0,5.9994,0,110.5877,3.9998,145.9438,5.7494,117.1352,172.3511,2140.4466,16.6708,161.1392,4.9997,0,0,1.9999,5.8244,140.9321
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,0,41.0884,0,47.9861,0.528,0,0,0,0,0,0,358.8257,1.1467,62.4069,17.9974,31.8939,22.7647,385.9983,20.9458,6.2131,17.9982,23.9964,98.9262,25.3552,224.6531,0,0,0,7.1098,552.7099,45.5354,0,45.8536,23.9964,62.886,0,0,0,2.3999,0,107.9305,3.9023,0,44.99,41.9863,82.3838,62.9627,29.4665,0,38.992,0,11.1993,0
PRPP-PWY,10659.2627,22015.5558,19347.7067,7657.5815,13959.4717,8552.2031,24832.0306,13659.0213,24102.208,20880.383,12507.9109,19749.6743,15010.0971,12097.8515,15797.7168,14668.4092,16119.4009,12610.9376,9502.3796,27380.2051,24233.3833,19010.0723,20823.3551,16272.5296,20996.122,7908.1434,11208.4162,17751.6718,3558.175,18390.786,9197.8798,11537.6004,19807.7132,13121.6653,20958.0842,19119.8508,9511.063,16251.0778,14066.5014,18244.0443,12093.2357,5064.7501,9288.1475,8892.5484,20620.6893,8340.9592,3194.2919,10863.0314,17541.2923,12812.9155,7805.0291,17266.6123,13236.3936
PWY-1269,7610.519,17282.7039,11218.7382,4334.0047,15193.5776,10309.237,19047.1667,10971.2593,19838.8824,16927.3965,13241.9869,15529.2836,11658.4748,10156.7913,13723.131,15911.4919,15491.7703,14450.0571,20765.1601,31293.6842,16395.17,17147.9336,13640.2851,10854.1604,13770.4205,17803.1807,9663.3681,13759.9896,4215.2513,14089.7482,10797.1395,9912.3106,16827.5735,5633.2509,8727.3342,14606.5144,4829.3695,20997.4458,6869.0678,14513.0263,10588.5832,9556.0454,14424.5323,17654.479,12140.6257,10219.4954,4626.2965,11912.426,8674.2268,10436.8174,9352.9073,17484.5899,7054.0172
PWY-1541,0,0,1.0645,0,29.8996,0,0,0,0,0,0,24.5951,0,0,0,0,0,414.0494,0,902.3788,44.1226,0,0,19.0546,0,0,0,16.5967,9.332,502.092,58.5994,0,12.953,0,69.2694,0,6.2647,0,103.5859,0,165.198,0,0,0,211.5909,0,20.0285,0,0,0,0,0,0
PWY-1622,0,0,33.6833,0,0,0,0,0,13.6285,0,0,24.9567,0,0,0,0,0,0,0,19.8105,27.4425,0,0,157.2999,5.7675,0,0,0,0,0,0,0,21.9968,0,40.2419,0,0,0,0,0,0,0,0,0,0,11.5737,0,76.0816,0,0,0,0,0
PWY-181,0,0,1508.4859,0,3582.0947,0,518.0758,0,39.9351,0,0,79.4981,0,0,0,15.9894,0,2324.2917,0,3264.4792,21729.571,0,0,444.9142,39.9052,31.9549,2939.1293,145.5877,55.0865,2667.3072,554.0977,0,39.8626,0,427.9614,403.5029,666.9258,0,2217.4125,0,2905.8592,0,0,0,872.2976,31.954,63.8571,555.5116,0,0,0,0,0
PWY-1861,15309.88,4598.8145,6092.4527,10029.0718,17297.3892,14639.7508,5028.0619,6995.1307,4193.8936,11629.1452,6788.2252,14333.1008,6644.2404,8358.329,7874.5433,5894.1628,4045.6323,4159.2359,13890.9592,3277.7668,4847.0036,14819.8703,11346.1439,6672.7145,7667.1066,4609.8423,8530.2079,6279.8841,1848.3233,7466.8757,5589.7197,13123.1497,1802.8159,8562.0372,18655.7448,7644.1326,13860.5733,3388.7948,8553.2819,8352.2591,17504.3373,7221.3685,12250.1747,9765.838,7400.8027,10647.1794,7110.1975,7632.0263,6473.6555,8412.5622,10016.386,7493.2014,9475.1748
PWY-2941,7341.3018,3468.8559,4046.5649,3323.0222,16628.8767,15810.1755,6158.3756,6854.5832,9262.3229,8282.3493,7708.4834,7967.1528,4976.8027,1320.9686,16402.5845,10033.2235,2471.9772,9761.6955,5277.1477,7335.0524,9418.4845,11170.5221,6720.5615,5527.727,7281.0963,7020.6958,10464.9647,6113.3749,1365.9296,7360.605,8662.494,3724.6926,8635.5828,7440.7262,18761.3748,8892.7867,17603.6724,7590.9068,5939.4364,8694.3041,17959.5019,5798.2821,3285.382,3384.5906,9472.0352,14535.5724,6883.6095,6798.5909,6340.7213,11792.4277,8985.1786,3059.5308,15082.6033
PWY-2942,43714.3947,58556.6851,48367.4631,45628.0877,56178.5285,64767.0102,75406.8646,53180.4914,55341.9458,47500.7347,41645.2991,55756.3154,54027.6981,29799.94,42203.1593,56035.3351,46655.733,46257.6108,60148.6699,56181.0159,62571.4248,49619.1147,55127.0234,46498.3201,53194.9207,56991.9138,45286.3374,50771.2341,17554.327,50964.4642,43200.3868,46146.8882,37692.9608,53261.0696,47879.6447,43743.4503,46719.8608,57989.3005,44054.8766,47838.4905,60353.2512,45701.7073,53997.1548,61515.3323,46420.8309,66107.037,35819.7863,57675.3713,52609.6551,58805.4751,49262.4818,51425.0333,50240.0477
PWY-3001,43331.4809,55847.1253,47114.3398,45445.92,55037.7084,64562.3763,72594.1599,49914.7795,53277.7865,47617.1759,40381.2217,55489.1048,51699.0053,28650.6242,40971.2104,54223.2368,45975.5138,42398.1496,60090.9384,54009.5508,61044.684,48323.0842,54061.4999,46042.1099,51486.91,54161.9349,43152.7787,48706.292,16596.9049,49829.7613,39735.4845,43613.6286,35476.1186,51898.6528,45216.649,42387.5833,44916.239,54696.6444,42596.8071,48060.4753,56878.0138,44441.8607,51117.1935,59048.5782,47483.7355,63363.0136,36379.72,54563.1068,50817.4228,54948.4294,47282.2106,49419.8616,49132.1686
PWY-3661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9449,0,0,0,0,0
PWY-3781,85.9053,287.3189,691.2887,215.3587,827.8606,594.6137,432.6413,159.7091,95.9352,149.8152,7.9994,27.9943,121.8751,532.3881,107.85,3235.3024,133.4466,1465.2514,53.9818,2569.0645,484.0361,4206.3231,891.3438,1051.4622,1650.5859,335.1301,25.991,1733.2153,122.5443,3368.0845,233.2433,77.9332,921.1307,163.7025,2977.0288,549.2411,209.2468,0,9442.3705,265.4077,643.226,35.9851,55.9705,345.1664,332.1112,505.4374,375.3087,187.6212,105.8857,382.2503,336.6892,135.8456,0
PWY-4361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5693,0,0,0,0,0,0,0,40.7725,0,0,0,3.7436,0,0,0,5.886,0,0,2.8964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWY-4722,0,0,0,0,0,0,0,60.1034,0,36.2303,69.0912,0,0,0,0,14.7058,0,0,0,25.3329,0,0,59.1995,0,33.464,2.1301,26.9949,18.8756,0,130.9589,0,0,44.197,0,21.8812,0,0,0,32.8137,0,14.628,0,13.0447,0,0,0,20.6672,0,0,0,0,0,0
PWY-4984,5022.4036,8814.5208,8772.067,2116.1131,5528.588,5788.1447,14589.6984,5815.4711,12500.3414,11620.9436,5877.8103,12941.8927,3582.0252,4862.1354,4158.7408,13669.359,9392.3211,1032.9476,4654.9619,8191.4964,2072.1826,8937.7612,4192.3193,7001.0344,16166.02,3846.1716,3001.7721,16306.1132,650.2461,4502.2942,3555.557,315.7989,15733.5341,1127.0538,3498.9511,10034.806,2677.0729,15171.8703,3099.8553,9354.948,2450.0142,819.0659,13121.3068,16160.7176,14643.3662,2847.0377,896.9626,6308.3186,6096.453,7273.0075,2316.9665,4398.1753,1640.8007
PWY-5005,830.2759,2826.3291,1736.1397,828.2715,8787.2539,4459.0936,2673.8779,2346.3578,4833.5757,4712.1721,4550.4152,2905.8951,2424.2853,170.1713,1916.9796,3004.275,2809.3651,3566.3009,1958.3722,6672.3866,11527.2598,1961.9163,6698.8655,275.8089,1350.5669,132.8468,4042.8775,2813.5141,251.054,4039.9724,4651.8675,3808.8735,1902.7728,4165.4873,3361.1835,208.0975,2248.7874,2333.9946,2108.1463,723.6318,3337.1184,1325.0056,3090.4661,901.066,264.2451,1792.4546,684.3078,5608.0409,1186.8382,4288.8558,8409.2639,2856.7559,1576.8829
PWY-5022,744.2368,2246.7588,353.9471,424.2095,3369.2128,2231.7505,1565.4043,1264.1337,2446.3335,2095.5015,2622.5331,1934.3746,973.9834,198.4141,1049.5669,1953.9137,1462.6633,1202.5865,1077.7457,5088.1236,2711.163,2092.3576,794.1624,328.5853,767.2854,698.423,1990.9996,1344.985,179.6161,2432.6741,1525.7976,1669.4422,1647.9446,1406.1973,2488.8902,668.4532,1278.3008,1408.633,1284.9983,1025.834,2337.8509,825.8551,1207.0195,791.4144,3068.674,1298.9029,2566.874,901.9249,710.1812,2015.9834,941.8933,1535.6036,1292.63
PWY-5028,0,0,19.9829,387.5047,0,0,0,0,0,0,1611.5804,1499.437,1.0749,0,0,12.4954,267.9443,158.649,223.351,838.6328,116.7518,0,0,0,0,27.4751,0,0,24.906,3.7494,0,682.189,74.733,0,0,0,0,0,0,54.9183,0,0,0,936.9827,485.0128,27.4751,355.3626,0,14.99,0,809.5864,17.491,64.756
PWY-5088,225.6167,71.2284,0,0,1524.439,0,0,0,853.7495,0,0,0,0,0,724.8019,0,0,0,0,0,0,0,0,192.0225,0,0,0,0,0,0,96.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,44.722,0,0,0,0,0,0,0,0
PWY-5097,43280.3563,57409.5152,46243.0141,45403.1727,55226.8627,63392.2365,73388.1183,51923.1234,54477.9095,45528.6868,41345.0946,55110.9449,53443.2558,28972.937,41306.6551,54798.2553,45892.5523,44699.7047,61326.2581,54328.4763,60892.445,48472.3684,53543.3876,45530.5958,51660.9869,55579.8479,44543.525,48845.2192,16882.5292,49774.668,41970.7078,45511.9182,36471.2193,52585.7717,46527.8929,42563.7075,46389.7818,56956.8038,42538.3793,47101.4875,58986.2119,44982.2114,53105.4348,61647.8288,44728.5934,64809.1092,35838.2296,53790.2314,51981.9386,57376.5837,48526.8661,50458.9474,49920.7218
PWY-5100,41785.6187,56633.7934,46085.3462,47436.1992,52285.7552,64131.9672,71140.1719,50545.281,51967.1822,45774.0403,38704.2501,54572.633,51888.6549,27209.1632,39951.1286,51737.797,41828.5993,43813.8318,58991.8388,50970.3106,59364.2916,48575.679,52071.7302,43237.8994,49099.3874,54365.1058,42633.7139,48256.3256,16020.88,48541.0834,41706.9148,42080.44,34870.8557,51993.7006,45047.5261,41371.2195,47199.7935,53264.6748,41975.4034,45853.7092,60217.1747,44535.7246,50231.8392,56903.7839,51885.2129,64549.4369,42872.0265,57157.7074,49324.8748,55914.4024,49545.2531,48652.2671,48235.4766
PWY-5101,50863.0357,65446.064,56199.0979,55592.2508,63462.1502,75189.0525,85307.6656,58486.2496,61037.8285,54375.6315,47381.4669,67533.576,60304.798,33692.4232,45927.5078,64027.0832,53737.559,48758.7217,69467.9147,59461.334,72876.6632,56645.5287,61464.9905,53350.936,59317.156,61408.4961,50364.2045,56124.487,19193.1258,58603.4511,46621.6766,52905.2099,42156.7531,61658.8701,52364.6649,49380.9934,53908.4716,61721.632,50521.583,57797.5703,67425.29,51804.4916,60053.4832,68507.9787,57341.1614,75948.6241,45033.6818,63184.8837,59493.497,65349.5728,55899.2258,56876.1922,58852.6409
PWY-5103,44714.0741,56907.7342,48303.7201,47327.2074,55384.3043,65725.2397,74073.0417,51405.4363,53596.9661,47324.7329,40101.783,56503.5218,51940.4076,29373.4137,39815.7538,56016.1786,46306.7812,41338.1291,60159.2651,52235.9181,63225.8379,48875.8928,53860.5368,47023.3158,52218.0899,53579.11,43374.0001,49033.412,16559.655,49891.0824,40947.1841,44698.1848,35207.5445,54067.6169,46133.8468,43597.8744,46872.6393,53830.7241,44085.3319,48757.6823,58091.3455,44838.734,51425.1722,58239.8367,47901.9682,65218.7318,38023.0216,55521.0215,51376.7376,57067.7901,46916.4952,49588.8411,51315.748
PWY-5104,48233.2743,63238.5653,54841.6303,54110.7509,58989.4337,73325.6514,82007.4932,55664.3444,57205.4985,53009.525,46757.7792,64074.9839,57132.8986,32041.8928,43265.2798,59605.0315,50391.8324,47272.8027,66616.8942,55167.0334,69893.3335,54382.6962,60603.1893,50579.2599,56643.2965,57633.7775,46845.9897,53468.1644,17973.6691,57382.4276,44875.3085,50388.8862,41731.9039,58157.8906,50944.4629,46590.0377,51253.9548,57759.3413,49550.3987,56240.2114,64347.3728,49846.0408,56759.4914,64416.6241,56268.3802,73484.7968,45026.3236,62995.4882,55963.7587,62258.6551,54715.3235,53796.4492,54871.0836
PWY-5121,36656.5618,50645.472,43065.9366,39672.7224,49653.0958,55544.4346,65431.9415,45077.0199,47521.649,41612.9569,35247.1888,46802.9764,45692.251,25188.8002,36577.8575,47906.4067,40353.9596,39694.0214,52907.1691,46250.5172,53788.8253,42856.436,47883.4014,41130.0971,46309.0455,49550.6738,38760.1508,44060.5993,15075.5298,44354.744,37018.0294,38033.8677,32378.504,45929.8998,37881.1879,37957.111,38960.864,49603.3886,37833.1154,41242.4891,51828.5851,38886.1425,46061.7301,51034.0936,39827.2015,56300.5655,29588.4103,51000.4625,44273.6995,50159.9517,42472.3423,43961.7563,42184.0287
PWY-5154,14541.9196,25348.4723,16441.0924,9579.7372,14732.6567,13423.3118,30090.0403,17227.3698,26861.1571,22537.2923,16111.8129,24338.7508,18997.8277,14260.4978,17128.2586,25090.2223,22171.981,14669.5482,31998.5359,36268.8895,21571.0652,24576.1502,20691.9317,16568.2999,21260.315,27519.6384,15029.8638,20189.951,6078.8251,22032.5698,13308.79,18661.6419,21237.9138,10236.6264,9452.8053,20579.4282,7761.1447,27608.6846,7540.1792,21466.9139,13127.6581,16099.636,23507.1962,27138.9406,17680.9048,16295.4719,4054.6357,12347.5394,15321.8874,16044.4981,14432.8873,25939.1838,9025.8591
PWY-5177,565.4921,85.9977,271.9769,97.9572,253.6902,173.0983,724.4088,189.5514,221.795,593.4157,519.1615,3324.9973,71.4392,286.6182,254.1244,1029.8228,162.2899,1708.6341,454.51,7799.4377,275.2887,1155.2251,434.8005,358.1326,591.7701,193.4686,87.5874,632.9284,72.8844,1353.4655,129.8505,111.5827,1616.1081,61.4207,280.798,341.5347,265.9547,57.7712,2011.8367,281.0183,922.7223,159.8662,301.902,451.7745,2482.4207,346.6496,375.9737,133.1791,75.3158,113.1646,470.9152,321.9983,222.3587
PWY-5178,0,17.0655,0,26.0535,0,0,0,0,0,0,0,36.8558,0,30.031,14.9026,21.6484,0,25.0555,9.3954,6.8872,6.6692,13.5518,64.756,10.3897,80.8019,0,0,3.3693,3.9408,64.8496,9.2318,0,7.0365,16.2487,0,0,0,0,3.7958,0,41.4763,0,0,29.9483,35.2054,54.2892,49.9863,16.5985,0,13.039,0,0,0
PWY-5180,734.8344,35.1549,1444.0781,172.682,107.1598,193.2742,154.1259,214.9933,196.2242,292.6711,288.4284,489.4669,368.1281,141.5428,315.3255,175.7186,660.0731,391.068,233.742,4213.6113,33.1659,412.2182,202.6897,27.9583,320.0954,96.2236,53.8736,473.9877,8.991,576.9791,152.5944,173.0653,769.6429,119.3829,185.2588,233.6823,90.1199,97.9098,175.8698,798.0353,157.7963,253.8913,175.4583,365.6123,3589.8666,391.9339,1713.2455,93.776,131.6607,61.9084,218.1244,440.5069,110.9572
PWY-5181,0,0,0,0,0,0,0,0,0,0,0,287.6077,0,0,0,6.1198,4.5898,331.9274,7.7621,3.8904,0,0,0,0,0,0,0,0,3.9469,19.1386,8.2941,0,38.2203,0,52.4254,0,0,0,2,0,0,0,0,0,0,7.124,0,0,0,0,0,0,0
PWY-5182,734.8344,35.1549,1444.0781,172.682,107.1598,193.2742,154.1259,214.9933,196.2242,292.6711,288.4284,489.4669,368.1281,141.5428,315.3255,175.7186,660.0731,391.068,233.742,4213.6113,33.1659,412.2182,202.6897,27.9583,320.0954,96.2236,53.8736,473.9877,8.991,576.9791,152.5944,173.0653,769.6429,119.3829,185.2588,233.6823,90.1199,97.9098,175.8698,798.0353,157.7963,253.8913,175.4583,365.6123,3589.8666,391.9339,1713.2455,93.776,131.6607,61.9084,218.1244,440.5069,110.9572
PWY-5183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWY-5188,15081.7444,20241.6846,20099.2498,22793.3859,25178.2913,26068.252,24230.1756,16283.6758,17641.0233,17900.7504,21593.0467,25251.2165,21488.5078,10656.0728,13030.0217,18553.1352,18508.6951,13313.1715,20341.2974,20018.6863,28129.378,16302.3126,20420.8298,13614.4166,16877.9096,14214.5089,15784.3838,16671.7487,4471.173,15345.2686,11162.1908,19467.4801,11376.7345,18673.1767,18688.1509,14241.4363,17454.2787,16967.5611,19126.338,19483.2097,21415.3987,19310.2977,20388.6638,23230.7495,26025.4121,22243.6614,19162.1817,22663.0172,21972.4247,20943.5083,23314.0758,14509.3489,22782.2955
PWY-5189,13862.6685,18719.8576,17980.2368,20817.2339,23635.6464,23556.9018,22283.4548,15501.5383,16191.7472,16376.052,20634.5541,24206.8182,19512.1496,9589.1583,11787.8413,17682.7077,17576.525,12906.5485,19245.5895,16749.9517,23793.5779,14862.0408,19081.8882,11916.2374,15168.5953,12575.4683,14567.1758,14426.3716,3979.3392,13915.064,11195.277,18784.665,10369.4434,16455.7772,17355.0319,12492.3019,15791.0514,15201.1372,17172.1692,18512.5051,19717.1495,18149.7304,18997.9326,21528.7231,14863.7593,20493.3035,18575.5267,19831.7235,20488.9023,19062.0203,21857.6293,13013.114,21080.9492
PWY-5198,0,0,0,0,315.2727,1378.0164,0,199.6364,0,1680,0,0,0,432,0,0,0,0,0,0,0,0,1548.1982,0,617.4545,0,102,0,80.7273,0,0,0,0,0,2830.9091,174.5455,193.0909,0,1214.1818,0,0,0,0,0,0,16.3636,5.8537,0,0,0,0,0,35.2268
PWY-5265,651.9886,172.9197,2019.3199,604.0764,3240.9805,396.0007,1587.8921,140.5443,436.5155,1389.5109,541.6944,5914.004,59.5872,381.7848,4783.0454,35.7611,680.4909,46.5043,500.6161,620.8117,125.875,6258.1495,590.7821,419.5324,453.0978,170.3732,1363.4465,0,189.071,116.7115,337.6803,263.0011,614.4658,745.505,3574.0524,679.5832,3377.9801,344.6401,836.4927,452.8952,3825.1216,106.208,208.3965,1263.7626,4921.4564,399.2853,1123.1567,715.3268,0,47.2034,432.8106,95.0512,1192.7837
PWY-5304,13240.34,12440,10202.66,22771,18810.68,16684.34,14514.8,12327.32,11748.34,4573.66,9142,18652,17001.34,7145,10611.66,16849,17229,10207.02,17932.66,7789.36,30903,15228,4478.68,6673.36,15247.66,12337,14146.66,9411.32,2514,7345.66,7833.02,17037.66,6278,12665.34,3790.02,7140.66,14280,17559,9362,11744.34,12091.98,19397,19942,23466,28401,18122.34,17714,5234,19178.34,20770.34,18877.34,6489.34,23039
PWY-5345,4122.7535,13503.3636,13086.8148,154.523,7660.3574,11127.3503,11815.1413,8734.217,15096.7193,14436.5709,11939.8339,7589.9874,11374.4875,8361.0345,7761.6569,5972.8731,5315.9897,4774.6138,868.1332,14574.1197,17787.1993,11263.6958,13617.7424,11791.5721,12373.7369,2904.7455,5199.1309,8128.328,2529.8655,13368.2663,4620.9587,212.8808,11638.7403,7515.9937,14102.3705,13336.7454,5745.2846,5897.3137,9248.687,10094.6416,5480.0982,3060.5032,1757.2923,4197.5715,12739.7891,4017.2209,784.9341,12901.8568,7771.0195,2056.3796,3912.1772,8123.4353,12058.9085
PWY-5347,23341.674,18548.6156,21450.3009,26821.1773,29279.739,41913.3127,35294.9726,24714.4455,23597.1222,20788.4051,22461.758,29022.1469,20030.4708,15243.152,23892.6701,29181.4278,25525.1816,23271.5974,33105.6607,30379.2719,35543.8992,25798.3417,26816.7978,22899.4724,30301.8845,33091.1252,19597.944,25343.5904,7459.1555,23087.3076,22905.1201,26906.285,18045.8066,33707.8647,29375.7268,20175.0785,24399.4017,25952.1808,23844.6899,24576.2745,24656.068,22859.947,22362.2881,35268.1117,42957.7086,32582.3019,20976.9444,17806.6177,26024.0049,35334.2004,24571.3352,19545.7876,32981.1397
PWY-5384,23720.4519,26162.866,16140.6125,29852.6083,18406.4739,29073.3857,35032.7192,27579.4965,19745.6146,12815.7891,22219.8403,29909.0944,18044.1139,13221.107,16946.3135,32231.2903,32046.9454,19690.5857,34308.6366,10800.2241,14622.7874,21639.0576,24102.7624,21957.921,22564.6405,22274.5475,21982.4561,16482.3387,5804.1093,20082.5043,20586.3779,32130.2591,8896.3529,28926.227,19011.5574,11721.8232,22278.9443,19794.6014,17168.7383,24617.584,29025.9292,23513.5592,29598.167,22827.1259,7142.624,40583.5973,27787.6461,13834.3195,25509.0069,33224.4899,16613.0411,25028.634,24104.6947
PWY-5392,0,0,52.287,0,0,0,0,0,0,27.9448,0,0,0,24.4515,0,0,0,0,0,10.4962,20.9902,0,0,17.4764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9957,0,0,0,0,0,0,0,0,0,20.9746,0,0,0,0
PWY-5415,332.4959,23.4506,64.7573,58.6706,41.3794,125.2268,95.727,77.0195,37.1401,18.8678,35.6152,322.9131,77.6621,65.1262,204.0859,113.5725,199.5278,15.7386,115.364,371.1708,24.3555,158.1407,140.4854,20.7354,164.4906,36.0977,37.0998,132.0194,4.0894,427.9743,53.6573,58.3482,104.0223,25.9947,121.9748,123.8353,17.0893,46.5359,117.4943,206.0503,106.2836,126.7382,91.9489,282.2997,2440.3827,224.5976,203.0867,27.5667,64.2877,30.5808,47.4416,266.5154,92.1225
