"","R","P","microbe1","microbe2"
"cor717",NA,NA,"Coriobacteriaceae_UCG-002","Lachnospiraceae_AC2044_group"
"cor718",NA,NA,"Coriobacteriaceae_UCG-002","Lachnospiraceae_FCS020_group"
"cor719",NA,NA,"Coriobacteriaceae_UCG-002","Lachnospiraceae_ND3007_group"
"cor720",NA,NA,"Coriobacteriaceae_UCG-002","Lachnospiraceae_NK4A136_group"
"cor721",NA,NA,"Coriobacteriaceae_UCG-002","Lachnospiraceae_NK4B4_group"
"cor722",NA,NA,"Coriobacteriaceae_UCG-002","Lachnospiraceae_UCG-001"
"cor723",NA,NA,"Coriobacteriaceae_UCG-002","Lachnospiraceae_UCG-002"
"cor724",NA,NA,"Coriobacteriaceae_UCG-002","Lachnospiraceae_UCG-003"
"cor725",NA,NA,"Coriobacteriaceae_UCG-002","Lachnospiraceae_UCG-004"
"cor726",NA,NA,"Coriobacteriaceae_UCG-002","Lachnospiraceae_UCG-010"
"cor727",NA,NA,"Coriobacteriaceae_UCG-002","Lactonifactor"
"cor728",NA,NA,"Coriobacteriaceae_UCG-002","Marvinbryantia"
"cor729",NA,NA,"Coriobacteriaceae_UCG-002","Roseburia"
"cor730",NA,NA,"Coriobacteriaceae_UCG-002","Sellimonas"
"cor731",NA,NA,"Coriobacteriaceae_UCG-002","Shuttleworthia"
"cor732",NA,NA,"Coriobacteriaceae_UCG-002","Tuzzerella"
"cor733",NA,NA,"Coriobacteriaceae_UCG-002","Tyzzerella"
"cor734",NA,NA,"Coriobacteriaceae_UCG-002","UC5-1-2E3"
"cor735",NA,NA,"Coriobacteriaceae_UCG-002","Monoglobus"
"cor736",NA,NA,"Coriobacteriaceae_UCG-002","Butyricicoccus"
"cor737",NA,NA,"Coriobacteriaceae_UCG-002","UCG-008"
"cor738",NA,NA,"Coriobacteriaceae_UCG-002","UCG-009"
"cor739",NA,NA,"Coriobacteriaceae_UCG-002","Acetanaerobacterium"
"cor740",NA,NA,"Coriobacteriaceae_UCG-002","Colidextribacter"
"cor741",NA,NA,"Coriobacteriaceae_UCG-002","Flavonifractor"
"cor742",NA,NA,"Coriobacteriaceae_UCG-002","Intestinimonas"
"cor743",NA,NA,"Coriobacteriaceae_UCG-002","NK4A214_group"
"cor744",NA,NA,"Coriobacteriaceae_UCG-002","Oscillibacter"
"cor745",NA,NA,"Coriobacteriaceae_UCG-002","Oscillospira"
"cor746",NA,NA,"Coriobacteriaceae_UCG-002","Pseudoflavonifractor"
"cor747",NA,NA,"Coriobacteriaceae_UCG-002","UCG-002"
"cor748",NA,NA,"Coriobacteriaceae_UCG-002","UCG-003"
"cor749",NA,NA,"Coriobacteriaceae_UCG-002","UCG-005"
"cor750",NA,NA,"Coriobacteriaceae_UCG-002","Hydrogenoanaerobacterium"
"cor751",NA,NA,"Coriobacteriaceae_UCG-002","Anaerofilum"
"cor752",NA,NA,"Coriobacteriaceae_UCG-002","Anaerotruncus"
"cor753",NA,NA,"Coriobacteriaceae_UCG-002","Angelakisella"
"cor754",NA,NA,"Coriobacteriaceae_UCG-002","CAG-352"
"cor755",NA,NA,"Coriobacteriaceae_UCG-002","Candidatus_Soleaferrea"
"cor756",NA,NA,"Coriobacteriaceae_UCG-002","Caproiciproducens"
"cor757",NA,NA,"Coriobacteriaceae_UCG-002","DTU089"
"cor758",NA,NA,"Coriobacteriaceae_UCG-002","Faecalibacterium"
"cor759",NA,NA,"Coriobacteriaceae_UCG-002","Fournierella"
"cor760",NA,NA,"Coriobacteriaceae_UCG-002","Incertae_Sedis"
"cor761",NA,NA,"Coriobacteriaceae_UCG-002","Negativibacillus"
"cor762",NA,NA,"Coriobacteriaceae_UCG-002","Paludicola"
"cor763",NA,NA,"Coriobacteriaceae_UCG-002","Phocea"
"cor764",NA,NA,"Coriobacteriaceae_UCG-002","Pygmaiobacter"
"cor765",NA,NA,"Coriobacteriaceae_UCG-002","Ruminococcus"
"cor766",NA,NA,"Coriobacteriaceae_UCG-002","Subdoligranulum"
"cor767",NA,NA,"Coriobacteriaceae_UCG-002","UBA1819"
"cor768",NA,NA,"Coriobacteriaceae_UCG-002","Peptococcus"
"cor769",NA,NA,"Coriobacteriaceae_UCG-002","Family_XIII_AD3011_group"
"cor770",NA,NA,"Coriobacteriaceae_UCG-002","Family_XIII_UCG-001"
"cor771",NA,NA,"Coriobacteriaceae_UCG-002","Intestinibacter"
"cor772",NA,NA,"Coriobacteriaceae_UCG-002","Romboutsia"
"cor773",NA,NA,"Coriobacteriaceae_UCG-002","Terrisporobacter"
"cor774",NA,NA,"Coriobacteriaceae_UCG-002","Anaerococcus"
"cor775",NA,NA,"Coriobacteriaceae_UCG-002","Acidaminococcus"
"cor776",NA,NA,"Coriobacteriaceae_UCG-002","Phascolarctobacterium"
"cor777",NA,NA,"Coriobacteriaceae_UCG-002","Succiniclasticum"
"cor778",NA,NA,"Coriobacteriaceae_UCG-002","Megamonas"
"cor779",NA,NA,"Coriobacteriaceae_UCG-002","Mitsuokella"
"cor780",NA,NA,"Coriobacteriaceae_UCG-002","Allisonella"
"cor781",NA,NA,"Coriobacteriaceae_UCG-002","Dialister"
"cor782",NA,NA,"Coriobacteriaceae_UCG-002","Megasphaera"
"cor783",NA,NA,"Coriobacteriaceae_UCG-002","Veillonella"
"cor784",NA,NA,"Coriobacteriaceae_UCG-002","Fusobacterium"
"cor785",NA,NA,"Coriobacteriaceae_UCG-002","TM7x"
"cor786",NA,NA,"Coriobacteriaceae_UCG-002","Succinivibrio"
"cor787",NA,NA,"Coriobacteriaceae_UCG-002","Ralstonia"
"cor788",NA,NA,"Coriobacteriaceae_UCG-002","Comamonas"
"cor789",NA,NA,"Coriobacteriaceae_UCG-002","Oxalobacter"
"cor790",NA,NA,"Coriobacteriaceae_UCG-002","Parasutterella"
"cor791",NA,NA,"Coriobacteriaceae_UCG-002","Sutterella"
"cor792",NA,NA,"Coriobacteriaceae_UCG-002","Citrobacter"
"cor793",NA,NA,"Coriobacteriaceae_UCG-002","Enterobacter"
"cor794",NA,NA,"Coriobacteriaceae_UCG-002","Escherichia/Shigella"
"cor795",NA,NA,"Coriobacteriaceae_UCG-002","Klebsiella"
"cor796",NA,NA,"Coriobacteriaceae_UCG-002","Haemophilus"
"cor797",NA,NA,"Coriobacteriaceae_UCG-002","Pseudomonas"
"cor798",NA,NA,"Coriobacteriaceae_UCG-002","Cloacibacillus"
"cor799",NA,NA,"Coriobacteriaceae_UCG-002","Akkermansia"
"cor805",1,0,"Collinsella","Collinsella"
"cor806",-0.0716988992251158,0.763881536717913,"Collinsella","Adlercreutzia"
"cor807",0.264975852352319,0.258883052251378,"Collinsella","DNF00809"
"cor808",0.031618542555279,0.894723251241425,"Collinsella","Eggerthella"
"cor809",0.155259979452401,0.513358428223934,"Collinsella","Enterorhabdus"
"cor810",-0.132846366429267,0.576614019278035,"Collinsella","Gordonibacter"
"cor811",-0.145731655309033,0.539840405979113,"Collinsella","Senegalimassilia"
"cor812",0.291887801113081,0.211766631419334,"Collinsella","Slackia"
"cor813",-0.62788267928358,0.00303527348018247,"Collinsella","Bacteroides"
"cor814",0.275038030831492,0.240549722726522,"Collinsella","Barnesiella"
"cor815",0.0311451953182804,0.896291099446193,"Collinsella","Coprobacter"
"cor816",0.332595399988627,0.151912740918792,"Collinsella","Butyricimonas"
"cor817",0.089914340480679,0.706186492397802,"Collinsella","Odoribacter"
"cor818",0.0160282661946579,0.94652674563319,"Collinsella","CAG-873"
"cor819",-0.199601365944525,0.398833662483487,"Collinsella","Porphyromonas"
"cor820",0.0677323506935545,0.776617405449968,"Collinsella","Alloprevotella"
"cor821",0.0561748620427213,0.814029599925564,"Collinsella","Paraprevotella"
"cor822",0.183010410593841,0.439933561861184,"Collinsella","Prevotella"
"cor823",0.0677323506935546,0.776617405449968,"Collinsella","Prevotellaceae_NK3B31_group"
"cor824",-0.104736043066679,0.660338175850791,"Collinsella","Alistipes"
"cor825",NA,NA,"Collinsella","Rikenellaceae_RC9_gut_group"
"cor826",-0.0451591844214936,0.850053783800176,"Collinsella","Parabacteroides"
"cor827",0.142400873789851,0.549242443168473,"Collinsella","Bilophila"
"cor828",0.0481131332932971,0.84036245468334,"Collinsella","Desulfovibrio"
"cor829",NA,NA,"Collinsella","Elusimicrobium"
"cor830",NA,NA,"Collinsella","Bacillus"
"cor831",-0.352888060561531,0.126976471266854,"Collinsella","Candidatus_Stoquefichus"
"cor832",0.069421647290489,0.771186466619445,"Collinsella","Catenibacterium"
"cor833",0.211352178793596,0.371054252031331,"Collinsella","Coprobacillus"
"cor834",0.130455723422318,0.583553316922904,"Collinsella","Erysipelatoclostridium"
"cor835",0.182989192786867,0.439987500837751,"Collinsella","Erysipelotrichaceae_UCG-003"
"cor836",-0.341110700639063,0.141065635614046,"Collinsella","Dielma"
"cor837",0.526052128287345,0.0171964673085119,"Collinsella","Faecalicoccus"
"cor838",-0.080609052148051,0.735489043343466,"Collinsella","Faecalitalea"
"cor839",0.157674955802445,0.506746298711408,"Collinsella","Holdemanella"
"cor840",-0.18099191519111,0.445080386698191,"Collinsella","Holdemania"
"cor841",-0.0923845887401986,0.698472126082819,"Collinsella","Merdibacter"
"cor842",-0.106022380577095,0.65641078349234,"Collinsella","Solobacterium"
"cor843",-0.218752295023239,0.354139470856341,"Collinsella","Turicibacter"
"cor844",-0.0272746319266509,0.909124796432816,"Collinsella","Granulicatella"
"cor845",0.310741547838369,0.182369711876451,"Collinsella","Enterococcus"
"cor846",0.507941367534733,0.02222560785889,"Collinsella","Lactobacillus"
"cor847",NA,NA,"Collinsella","Leuconostoc"
"cor848",NA,NA,"Collinsella","Weissella"
"cor849",0.0444394430330416,0.852418308770748,"Collinsella","Lactococcus"
"cor850",-0.0221989390111088,0.925986786853033,"Collinsella","Streptococcus"
"cor851",0.0767700582259522,0.74768401483431,"Collinsella","Gemella"
"cor852",-0.0744538816784111,0.755069810344794,"Collinsella","Staphylococcus"
"cor853",0.589709822875389,0.00620750316471121,"Collinsella","Christensenella"
"cor854",0.0444086279585135,0.852519570971436,"Collinsella","Christensenellaceae_R-7_group"
"cor855",-0.0113367930603615,0.962165419170308,"Collinsella","Ruminiclostridium"
"cor856",0.339328018078276,0.143290103099769,"Collinsella","Clostridium_sensu_stricto_1"
"cor857",0.235623541594962,0.317279599838704,"Collinsella","Anaerofustis"
"cor858",0.0902353110165823,0.705182550443522,"Collinsella","Eubacterium"
"cor859",-0.0597909907083436,0.802278263485539,"Collinsella","Defluviitaleaceae_UCG-011"
"cor860",-0.298666871271008,0.200857991079736,"Collinsella","Agathobacter"
"cor861",NA,NA,"Collinsella","Anaerosporobacter"
"cor862",-0.116127430895619,0.625866540733619,"Collinsella","Anaerostipes"
"cor863",0.424915117865529,0.061824108956464,"Collinsella","Blautia"
"cor864",0.143108893551967,0.547237705007893,"Collinsella","CAG-56"
"cor865",0.236209033318241,0.316043344266948,"Collinsella","Coprococcus"
"cor866",0.0670349464128421,0.778862427354738,"Collinsella","Dorea"
"cor867",-0.375791447005112,0.102495540748308,"Collinsella","Eisenbergiella"
"cor868",0.113527396964006,0.633672201989654,"Collinsella","FD2005"
"cor869",-0.142039391113823,0.550267245903186,"Collinsella","Frisingicoccus"
"cor870",0.171436366590302,0.469865673747802,"Collinsella","Fusicatenibacter"
"cor871",-0.396851268629287,0.0831909219353286,"Collinsella","GCA-900066575"
"cor872",-0.0159845955536413,0.946672240221361,"Collinsella","GCA-900066755"
"cor873",-0.188607363154515,0.425826942734246,"Collinsella","Howardella"
"cor874",-0.199918845417998,0.398068453433644,"Collinsella","Hungatella"
"cor875",-0.191514076659354,0.418597227034991,"Collinsella","Lachnoclostridium"
"cor876",-0.340031917661687,0.142408845919173,"Collinsella","Lachnospira"
"cor877",0.234293365757857,0.320098991669335,"Collinsella","Lachnospiraceae_AC2044_group"
"cor878",0.0311205407282848,0.896372772002811,"Collinsella","Lachnospiraceae_FCS020_group"
"cor879",-0.0789177807985528,0.740854230773244,"Collinsella","Lachnospiraceae_ND3007_group"
"cor880",-0.149716122828325,0.528690877763339,"Collinsella","Lachnospiraceae_NK4A136_group"
"cor881",0.193509049580804,0.41367371189364,"Collinsella","Lachnospiraceae_NK4B4_group"
"cor882",0.103497528547479,0.66412765529248,"Collinsella","Lachnospiraceae_UCG-001"
"cor883",0.236483738924073,0.315464305479763,"Collinsella","Lachnospiraceae_UCG-002"
"cor884",0.0208293597552698,0.930542177852557,"Collinsella","Lachnospiraceae_UCG-003"
"cor885",-0.514156999487293,0.0203829579989742,"Collinsella","Lachnospiraceae_UCG-004"
"cor886",0.0778485146975336,0.744252212434632,"Collinsella","Lachnospiraceae_UCG-010"
"cor887",0.0790242729761943,0.740516064848926,"Collinsella","Lactonifactor"
"cor888",0.263759497388216,0.261157528487492,"Collinsella","Marvinbryantia"
"cor889",-0.202520175483149,0.391829082998082,"Collinsella","Roseburia"
"cor890",0.135424358437276,0.569171040020994,"Collinsella","Sellimonas"
"cor891",-0.28493334867634,0.223356666069717,"Collinsella","Shuttleworthia"
"cor892",-0.0942298326013932,0.692728059977906,"Collinsella","Tuzzerella"
"cor893",0.229045827221906,0.331366797615127,"Collinsella","Tyzzerella"
"cor894",0.248975589023496,0.289808287561583,"Collinsella","UC5-1-2E3"
"cor895",-0.255311268686054,0.277302263047749,"Collinsella","Monoglobus"
"cor896",0.176879416460976,0.455662903073415,"Collinsella","Butyricicoccus"
"cor897",0.118024625450856,0.6201949239355,"Collinsella","UCG-008"
"cor898",-0.313166785729906,0.178800345716236,"Collinsella","UCG-009"
"cor899",-0.0372039730257229,0.876252747006897,"Collinsella","Acetanaerobacterium"
"cor900",0.232780078424913,0.323324634519628,"Collinsella","Colidextribacter"
"cor901",-0.17822651773156,0.452182299176093,"Collinsella","Flavonifractor"
"cor902",0.0835770255158825,0.726102377737587,"Collinsella","Intestinimonas"
"cor903",-0.00389233057031958,0.987006094340903,"Collinsella","NK4A214_group"
"cor904",0.0155557218284248,0.948101176137338,"Collinsella","Oscillibacter"
"cor905",0.0782550993526928,0.742959601956443,"Collinsella","Oscillospira"
"cor906",0.222003242235819,0.34685187036446,"Collinsella","Pseudoflavonifractor"
"cor907",0.168332163817094,0.478064436300285,"Collinsella","UCG-002"
"cor908",-0.0820216971607569,0.73101674608958,"Collinsella","UCG-003"
"cor909",0.204281943726017,0.387634422121076,"Collinsella","UCG-005"
"cor910",-0.156072472208812,0.511129276790798,"Collinsella","Hydrogenoanaerobacterium"
"cor911",0.0925432657090984,0.697977554176224,"Collinsella","Anaerofilum"
"cor912",0.189048573976654,0.424725277812095,"Collinsella","Anaerotruncus"
"cor913",0.113520611994946,0.633692620681677,"Collinsella","Angelakisella"
"cor914",0.0758572782576669,0.750592188897648,"Collinsella","CAG-352"
"cor915",0.00534042163495793,0.982172515999574,"Collinsella","Candidatus_Soleaferrea"
"cor916",0.135655252913973,0.568506471182161,"Collinsella","Caproiciproducens"
"cor917",0.296773285388305,0.203866582174107,"Collinsella","DTU089"
"cor918",-0.204729364799329,0.386573138478917,"Collinsella","Faecalibacterium"
"cor919",0.151405686327281,0.523995653378283,"Collinsella","Fournierella"
"cor920",-0.216370733875836,0.359533802921087,"Collinsella","Incertae_Sedis"
"cor921",-0.0346244762572173,0.884775823877567,"Collinsella","Negativibacillus"
"cor922",0.132294028658437,0.57821412236147,"Collinsella","Paludicola"
"cor923",0.117970694982845,0.620355864967246,"Collinsella","Phocea"
"cor924",-0.129666245526419,0.585852708267438,"Collinsella","Pygmaiobacter"
"cor925",0.172029191886843,0.468308035387486,"Collinsella","Ruminococcus"
"cor926",-0.135803722775095,0.568079319013782,"Collinsella","Subdoligranulum"
"cor927",-0.13212127905075,0.578714963293767,"Collinsella","UBA1819"
"cor928",-0.102931094667743,0.665863397113174,"Collinsella","Peptococcus"
"cor929",0.196640112572374,0.406009928212759,"Collinsella","Family_XIII_AD3011_group"
"cor930",0.305389077421999,0.190417237296659,"Collinsella","Family_XIII_UCG-001"
"cor931",-0.3118767707458,0.180692978128105,"Collinsella","Intestinibacter"
"cor932",0.160680880156653,0.498573749531248,"Collinsella","Romboutsia"
"cor933",0.273057667961703,0.244090041456882,"Collinsella","Terrisporobacter"
"cor934",0.146511685122399,0.537649254803905,"Collinsella","Anaerococcus"
"cor935",0.32277404109654,0.165128254028136,"Collinsella","Acidaminococcus"
"cor936",0.269756360369888,0.250065766772778,"Collinsella","Phascolarctobacterium"
"cor937",NA,NA,"Collinsella","Succiniclasticum"
"cor938",NA,NA,"Collinsella","Megamonas"
"cor939",NA,NA,"Collinsella","Mitsuokella"
"cor940",0.252326453997861,0.28315147472246,"Collinsella","Allisonella"
"cor941",-0.296000673276395,0.20510269280187,"Collinsella","Dialister"
"cor942",0.447386419233161,0.0479408035441987,"Collinsella","Megasphaera"
"cor943",0.15518816143445,0.513555690043047,"Collinsella","Veillonella"
"cor944",0.10701641003255,0.653381779609047,"Collinsella","Fusobacterium"
"cor945",0.558592109080162,0.0104676576928062,"Collinsella","TM7x"
"cor946",NA,NA,"Collinsella","Succinivibrio"
"cor947",0.126431974410407,0.595312506196872,"Collinsella","Ralstonia"
"cor948",NA,NA,"Collinsella","Comamonas"
"cor949",0.255521490987545,0.276893156458608,"Collinsella","Oxalobacter"
"cor950",-0.367835667884753,0.110573951785477,"Collinsella","Parasutterella"
"cor951",0.0530731488256652,0.824139905557243,"Collinsella","Sutterella"
"cor952",NA,NA,"Collinsella","Citrobacter"
"cor953",NA,NA,"Collinsella","Enterobacter"
"cor954",-0.0671723781111594,0.778419885415753,"Collinsella","Escherichia/Shigella"
"cor955",NA,NA,"Collinsella","Klebsiella"
"cor956",-0.184294294298448,0.436676189094095,"Collinsella","Haemophilus"
"cor957",-0.265758994324329,0.25742530340002,"Collinsella","Pseudomonas"
"cor958",NA,NA,"Collinsella","Cloacibacillus"
"cor959",0.399611934242649,0.0808754817481837,"Collinsella","Akkermansia"
"cor966",1,0,"Adlercreutzia","Adlercreutzia"
"cor967",0.318078863021452,0.171717099793584,"Adlercreutzia","DNF00809"
"cor968",0.0854038496355243,0.720343308575624,"Adlercreutzia","Eggerthella"
"cor969",-0.00592581051661545,0.980218709013832,"Adlercreutzia","Enterorhabdus"
"cor970",0.301793727373164,0.195955012826351,"Adlercreutzia","Gordonibacter"
"cor971",-0.181085797845984,0.444840308478415,"Adlercreutzia","Senegalimassilia"
"cor972",-0.0169522174352995,0.943448867352989,"Adlercreutzia","Slackia"
"cor973",-0.212607493112823,0.368153158996253,"Adlercreutzia","Bacteroides"
"cor974",0.0509301988429383,0.831140747946176,"Adlercreutzia","Barnesiella"
"cor975",-0.181596193474882,0.443536298274268,"Adlercreutzia","Coprobacter"
"cor976",-0.0690342649216211,0.772430971015248,"Adlercreutzia","Butyricimonas"
"cor977",-0.133473995795595,0.574798119106836,"Adlercreutzia","Odoribacter"
"cor978",0.197991786672798,0.40272560036831,"Adlercreutzia","CAG-873"
"cor979",0.297842330378883,0.202164388668962,"Adlercreutzia","Porphyromonas"
"cor980",-0.015511680469964,0.948247923327577,"Adlercreutzia","Alloprevotella"
"cor981",0.205421475109276,0.38493464757399,"Adlercreutzia","Paraprevotella"
"cor982",-0.0113824843131805,0.962013037672299,"Adlercreutzia","Prevotella"
"cor983",-0.015511680469964,0.948247923327577,"Adlercreutzia","Prevotellaceae_NK3B31_group"
"cor984",0.255166055231438,0.277585077657806,"Adlercreutzia","Alistipes"
"cor985",NA,NA,"Adlercreutzia","Rikenellaceae_RC9_gut_group"
"cor986",-0.15159363047921,0.523474575030927,"Adlercreutzia","Parabacteroides"
"cor987",-0.00363750207472131,0.987856735242668,"Adlercreutzia","Bilophila"
"cor988",0.219693093969556,0.352021470464207,"Adlercreutzia","Desulfovibrio"
"cor989",NA,NA,"Adlercreutzia","Elusimicrobium"
"cor990",NA,NA,"Adlercreutzia","Bacillus"
"cor991",-0.301688381424955,0.196118880865468,"Adlercreutzia","Candidatus_Stoquefichus"
"cor992",-0.0164896883175776,0.94498955649624,"Adlercreutzia","Catenibacterium"
"cor993",0.084028520281004,0.72467770848907,"Adlercreutzia","Coprobacillus"
"cor994",-0.0841722575598051,0.724224335179296,"Adlercreutzia","Erysipelatoclostridium"
"cor995",0.321465367637872,0.166946989259945,"Adlercreutzia","Erysipelotrichaceae_UCG-003"
"cor996",0.0936272166114908,0.694602188359002,"Adlercreutzia","Dielma"
"cor997",-0.00505436779358377,0.983127291891305,"Adlercreutzia","Faecalicoccus"
"cor998",-0.084037780221535,0.724648498305166,"Adlercreutzia","Faecalitalea"
"cor999",-0.00730181260691509,0.975626579765232,"Adlercreutzia","Holdemanella"
"cor1000",-0.0699644348065352,0.769443613335706,"Adlercreutzia","Holdemania"
"cor1001",0.0207645509078066,0.930757792769905,"Adlercreutzia","Merdibacter"
"cor1002",0.013869667532966,0.953720267851126,"Adlercreutzia","Solobacterium"
"cor1003",-0.22320437073152,0.344181557693942,"Adlercreutzia","Turicibacter"
"cor1004",-0.138388490579513,0.560665458025021,"Adlercreutzia","Granulicatella"
"cor1005",-0.181085797845984,0.444840308478415,"Adlercreutzia","Enterococcus"
"cor1006",-0.134345609437564,0.572280416361242,"Adlercreutzia","Lactobacillus"
"cor1007",NA,NA,"Adlercreutzia","Leuconostoc"
"cor1008",NA,NA,"Adlercreutzia","Weissella"
"cor1009",0.0221722812666927,0.926075433116388,"Adlercreutzia","Lactococcus"
"cor1010",-0.184055830102357,0.437280240376025,"Adlercreutzia","Streptococcus"
"cor1011",0.0416526068541076,0.861585007710112,"Adlercreutzia","Gemella"
"cor1012",-0.181085797845984,0.444840308478415,"Adlercreutzia","Staphylococcus"
"cor1013",0.0421306806722308,0.860011242662734,"Adlercreutzia","Christensenella"
"cor1014",0.128957582248099,0.587919988957359,"Adlercreutzia","Christensenellaceae_R-7_group"
"cor1015",0.00367164017952193,0.98774277836505,"Adlercreutzia","Ruminiclostridium"
"cor1016",0.0130332400242588,0.956508615567301,"Adlercreutzia","Clostridium_sensu_stricto_1"
"cor1017",-0.00728730935867905,0.97567497782376,"Adlercreutzia","Anaerofustis"
"cor1018",0.205518446521539,0.384705389325696,"Adlercreutzia","Eubacterium"
"cor1019",-0.142937574933029,0.547722485286309,"Adlercreutzia","Defluviitaleaceae_UCG-011"
"cor1020",0.155511927349939,0.51266669070982,"Adlercreutzia","Agathobacter"
"cor1021",NA,NA,"Adlercreutzia","Anaerosporobacter"
"cor1022",-0.229894029549696,0.329529806834913,"Adlercreutzia","Anaerostipes"
"cor1023",-0.232801787261752,0.323278224755746,"Adlercreutzia","Blautia"
"cor1024",0.0715800439724915,0.764262329635383,"Adlercreutzia","CAG-56"
"cor1025",0.0674541752096626,0.777512679893829,"Adlercreutzia","Coprococcus"
"cor1026",0.684374039040139,0.000873775503132596,"Adlercreutzia","Dorea"
"cor1027",-0.270024843995778,0.249576326922291,"Adlercreutzia","Eisenbergiella"
"cor1028",-0.0660553584058016,0.782018676135598,"Adlercreutzia","FD2005"
"cor1029",-0.182907523080929,0.440195150329137,"Adlercreutzia","Frisingicoccus"
"cor1030",-0.157025504052541,0.508520445785294,"Adlercreutzia","Fusicatenibacter"
"cor1031",-0.259391374088647,0.2694292798346,"Adlercreutzia","GCA-900066575"
"cor1032",0.109956599426811,0.644453096928033,"Adlercreutzia","GCA-900066755"
"cor1033",0.112820312251103,0.63580147207557,"Adlercreutzia","Howardella"
"cor1034",-0.0089678246361673,0.9700676019158,"Adlercreutzia","Hungatella"
"cor1035",-0.384546173687149,0.0941111672054425,"Adlercreutzia","Lachnoclostridium"
"cor1036",-0.22943061410198,0.330532698633815,"Adlercreutzia","Lachnospira"
"cor1037",0.086447118124743,0.717060871923058,"Adlercreutzia","Lachnospiraceae_AC2044_group"
"cor1038",0.23764597201544,0.313021541960462,"Adlercreutzia","Lachnospiraceae_FCS020_group"
"cor1039",-0.0300108368630753,0.9000498836008,"Adlercreutzia","Lachnospiraceae_ND3007_group"
"cor1040",-0.211825610904564,0.369958608293732,"Adlercreutzia","Lachnospiraceae_NK4A136_group"
"cor1041",0.139640036698998,0.557091124981637,"Adlercreutzia","Lachnospiraceae_NK4B4_group"
"cor1042",-0.073898428107218,0.756844106757469,"Adlercreutzia","Lachnospiraceae_UCG-001"
"cor1043",-0.0332250836418644,0.889404807565778,"Adlercreutzia","Lachnospiraceae_UCG-002"
"cor1044",0.226749396532844,0.336370562649213,"Adlercreutzia","Lachnospiraceae_UCG-003"
"cor1045",-0.382270100437063,0.096240880666692,"Adlercreutzia","Lachnospiraceae_UCG-004"
"cor1046",-0.130824578049056,0.582480329568774,"Adlercreutzia","Lachnospiraceae_UCG-010"
"cor1047",-0.257989925471247,0.272117548015344,"Adlercreutzia","Lactonifactor"
"cor1048",0.183752386628243,0.438049525047821,"Adlercreutzia","Marvinbryantia"
"cor1049",-0.113553013832345,0.633595112861265,"Adlercreutzia","Roseburia"
"cor1050",-0.148832996799029,0.531152808179372,"Adlercreutzia","Sellimonas"
"cor1051",-0.18350726496778,0.438671472161228,"Adlercreutzia","Shuttleworthia"
"cor1052",0.0397368901915727,0.867896313961791,"Adlercreutzia","Tuzzerella"
"cor1053",-0.10926740245416,0.646541884751446,"Adlercreutzia","Tyzzerella"
"cor1054",-0.165295021399197,0.486154655645382,"Adlercreutzia","UC5-1-2E3"
"cor1055",-0.00162251127131777,0.99458333207702,"Adlercreutzia","Monoglobus"
"cor1056",0.261474135296958,0.265464986014733,"Adlercreutzia","Butyricicoccus"
"cor1057",-0.048977076842371,0.837532136445586,"Adlercreutzia","UCG-008"
"cor1058",-0.136126147642735,0.567152176719415,"Adlercreutzia","UCG-009"
"cor1059",-0.105768819391075,0.657184263680737,"Adlercreutzia","Acetanaerobacterium"
"cor1060",-0.163466057775981,0.491058987718833,"Adlercreutzia","Colidextribacter"
"cor1061",-0.188694894791266,0.425608262800845,"Adlercreutzia","Flavonifractor"
"cor1062",-0.179058299231746,0.450040043048502,"Adlercreutzia","Intestinimonas"
"cor1063",-0.04224266944391,0.859642661495255,"Adlercreutzia","NK4A214_group"
"cor1064",-0.178946566169058,0.45032750595385,"Adlercreutzia","Oscillibacter"
"cor1065",-0.16884615177502,0.476701985821405,"Adlercreutzia","Oscillospira"
"cor1066",-0.0679292087233728,0.775984005228253,"Adlercreutzia","Pseudoflavonifractor"
"cor1067",0.196763143153612,0.405710382739548,"Adlercreutzia","UCG-002"
"cor1068",-0.0826336564995612,0.729081923325586,"Adlercreutzia","UCG-003"
"cor1069",0.0601439496646003,0.801133396403573,"Adlercreutzia","UCG-005"
"cor1070",0.0141173721131133,0.952894608038358,"Adlercreutzia","Hydrogenoanaerobacterium"
"cor1071",-0.0147281536823809,0.950858923133205,"Adlercreutzia","Anaerofilum"
"cor1072",0.0125226183976273,0.958211085080913,"Adlercreutzia","Anaerotruncus"
"cor1073",0.00176113699094298,0.994120544810234,"Adlercreutzia","Angelakisella"
"cor1074",0.0690182636641093,0.772482388175396,"Adlercreutzia","CAG-352"
"cor1075",0.0594844364597994,0.803272925956762,"Adlercreutzia","Candidatus_Soleaferrea"
"cor1076",-0.0323677328164252,0.892242510011525,"Adlercreutzia","Caproiciproducens"
"cor1077",0.193116497874385,0.414640030056327,"Adlercreutzia","DTU089"
"cor1078",-0.05328528178641,0.823447570728443,"Adlercreutzia","Faecalibacterium"
"cor1079",0.0981946947146253,0.680440647542978,"Adlercreutzia","Fournierella"
"cor1080",0.0954944693681367,0.688800649634262,"Adlercreutzia","Incertae_Sedis"
"cor1081",-0.151689530568399,0.523208784052081,"Adlercreutzia","Negativibacillus"
"cor1082",0.137838365350872,0.562239782801106,"Adlercreutzia","Paludicola"
"cor1083",-0.0207957604422989,0.93065396005113,"Adlercreutzia","Phocea"
